規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.1,19.4,18.6,156.6,161.4,147,142.7,146,136.2,13.9,15.4,10.8
100～499人,18.7,19.3,17.9,151.7,160.4,137.8,138.9,145.5,128.4,12.8,14.9,9.4
100人以上,18.9,19.3,18.2,153.9,160.8,141.4,140.6,145.7,131.5,13.3,15.1,9.9
30～99人,18.2,19.1,16.8,143.4,157.5,122.7,133,144.4,116.3,10.4,13.1,6.4
５～29人,18.1,19.1,16.8,137.9,153.9,118.1,130.7,143.9,114.4,7.2,10,3.7
30人以上,18.6,19.3,17.6,150,159.6,134.2,137.8,145.2,125.6,12.2,14.4,8.6
５人以上,18.5,19.2,17.3,146.2,158,128.5,135.6,144.9,121.6,10.6,13.1,6.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
