規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.2,154.5,138.3,16.2,15.1,98.1,94.8,3.3
100～499人,18.5,154,139.5,14.5,14.7,91.6,88.1,3.5
100人以上,18.4,154.3,139,15.3,14.8,93.8,90.4,3.4
30～99人,18.7,154.2,142.3,11.9,13.8,81.6,78.4,3.2
５～29人,19.1,158.5,148.8,9.7,13.9,83.6,82.2,1.4
30人以上,18.5,154.3,140.1,14.2,14.3,87.6,84.3,3.3
５人以上,18.6,155.4,142.4,13,14.1,85.7,83.3,2.4
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年５月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
