規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.1,167.9,151.5,16.4,16,102.7,99.5,3.2
100～499人,20.4,169.9,154.5,15.4,15.1,93.8,90.3,3.5
100人以上,20.3,169.1,153.2,15.9,15.4,96.9,93.5,3.4
30～99人,20.9,171.3,158.7,12.6,15.1,88.3,84.8,3.5
５～29人,21.4,176.2,165.8,10.4,14.2,85.6,84.2,1.4
30人以上,20.5,169.8,155,14.8,15.3,92.3,88.9,3.4
５人以上,20.7,171.5,157.9,13.6,14.8,89,86.6,2.4
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年６月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
