規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.5,20,18.6,160.5,167,147.2,144.6,149.3,135.1,15.9,17.7,12.1
100～499人,19.2,19.8,18.4,155.5,164.8,140.9,141.6,148.4,130.8,13.9,16.4,10.1
100人以上,19.4,19.9,18.5,157.7,165.8,143.4,142.9,148.8,132.5,14.8,17,10.9
30～99人,18.9,20,17.5,148.1,162.3,128.4,137.4,149,121.3,10.7,13.3,7.1
５～29人,18.6,19.8,17.1,143,159.9,120.6,135.3,149.6,116.4,7.7,10.3,4.2
30人以上,19.2,19.9,18.1,154.2,164.6,137.4,140.9,148.9,128,13.3,15.7,9.4
５人以上,19,19.9,17.7,150.6,163.2,131.6,139.1,149.1,124,11.5,14.1,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
