事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,平成17,2005,年平均,4240153,2779161,1460991,85207,50590,34617,83056,49532,33524,4242304,2780219,1462084,16.1,7.3,32.9
30人以上,TL 調査産業計,平成18,2006,年平均,4307455,2797621,1509834,89274,48200,41075,83870,46568,37302,4312859,2799253,1513607,16.2,7.6,32
30人以上,TL 調査産業計,平成19,2007,年平均,4359575,2860321,1499254,90873,49957,40916,84901,47108,37794,4365547,2863170,1502376,14.5,7.1,28.7
30人以上,TL 調査産業計,平成20,2008,年平均,4439995,2946165,1493830,91110,51235,39876,80597,44757,35840,4450508,2952643,1497866,13.9,6.9,27.7
30人以上,TL 調査産業計,平成21,2009,年平均,4744230,2998797,1745433,96272,53860,42412,95174,51696,43478,4745328,3000961,1744367,15.9,8.3,29.1
30人以上,TL 調査産業計,平成22,2010,年平均,4707023,2936527,1770496,88074,46982,41091,90211,49259,40952,4704886,2934250,1770635,15.8,8.2,28.3
30人以上,TL 調査産業計,平成23,2011,年平均,4695712,2911544,1784168,84970,45778,39192,86667,47639,39028,4694015,2909683,1784332,16.4,8.3,29.5
30人以上,TL 調査産業計,平成23,2011,1月,4699915,2901799,1798116,56543,26577,29966,70305,36375,33930,4686153,2892001,1794152,16.5,8.4,29.4
30人以上,TL 調査産業計,平成23,2011,2月,4686153,2907884,1778269,61524,29817,31707,65788,33627,32161,4681889,2904074,1777815,17.6,9.3,31.3
30人以上,TL 調査産業計,平成23,2011,3月,4681889,2891584,1790305,74589,35302,39287,97803,49778,48025,4658675,2877108,1781567,16.1,8,29.1
30人以上,TL 調査産業計,平成23,2011,4月,4657510,2871162,1786348,247631,148594,99037,192298,109471,82827,4712843,2910285,1802558,15.7,7.9,28.3
30人以上,TL 調査産業計,平成23,2011,5月,4714008,2918901,1795107,85735,43400,42335,90624,53347,37277,4709119,2908954,1800165,15.5,7.6,28.2
30人以上,TL 調査産業計,平成23,2011,6月,4709120,2921382,1787738,96121,53161,42960,78875,46278,32597,4726366,2928265,1798101,16.5,8.3,29.7
30人以上,TL 調査産業計,平成23,2011,7月,4726366,2931815,1794551,80812,48101,32711,89958,49921,40037,4717220,2929995,1787225,16.5,8.4,29.9
30人以上,TL 調査産業計,平成23,2011,8月,4717220,2936872,1780348,55196,29070,26126,75206,39890,35316,4697210,2926052,1771158,16.5,8.3,30
30人以上,TL 調査産業計,平成23,2011,9月,4697211,2921399,1775812,65346,31913,33433,71748,37780,33968,4690809,2915532,1775277,16.5,8.3,29.9
