規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1159011,1388953,698916,453925,526445,308818,414836,39089,705086,862508,390098
100～499人,870671,1022913,607599,370022,432677,261754,342231,27791,500649,590236,345845
100人以上,995729,1186300,645081,406412,474532,281072,373721,32691,589317,711768,364009
30～99人,683217,866760,428589,317766,392136,214592,297385,20381,365451,474624,213997
５～29人,419869,528185,287617,251554,313593,175805,240988,10566,168315,214592,111812
30人以上,882735,1078660,557936,374360,446776,254312,346120,28240,508375,631884,303624
５人以上,735779,918595,461270,335370,408050,226238,312741,22629,400409,510545,235032
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
