規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.6,19,17.8,153.8,159.7,141.9,138.1,142.5,129.2,15.7,17.2,12.7
100～499人,18.6,19,17.9,151.7,159.3,138.4,137.3,142.9,127.6,14.4,16.4,10.8
100人以上,18.6,19,17.8,152.6,159.5,139.8,137.6,142.7,128.2,15,16.8,11.6
30～99人,18.3,19.1,17,143.1,156.7,124.3,131.4,141.8,116.9,11.7,14.9,7.4
５～29人,18.2,19.3,16.8,139.4,155.6,119.6,131.6,145.1,115.2,7.8,10.5,4.4
30人以上,18.5,19.1,17.5,149.2,158.5,133.6,135.4,142.4,123.7,13.8,16.1,9.9
５人以上,18.4,19.1,17.3,146.1,157.7,128.6,134.2,143.2,120.7,11.9,14.5,7.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
