規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,160.1,143.1,17,15,97.6,93.2,4.4
100～499人,19.2,160.9,144.9,16,14.9,94.4,90,4.4
100人以上,19.1,160.5,144.1,16.4,15,95.6,91.2,4.4
30～99人,19.5,160.9,146.9,14,14,84,79.8,4.2
５～29人,20.5,168.8,157.9,10.9,14,84.5,82.6,1.9
30人以上,19.3,160.6,145,15.6,14.5,89.6,85.3,4.3
５人以上,19.6,162.8,148.4,14.4,14.2,87,83.9,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
