規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.4,18.2,156.2,162.1,144.2,140.6,144.8,131.9,15.6,17.3,12.3
100～499人,18.8,19.4,17.8,152.6,162.3,136.9,138.9,146,127.5,13.7,16.3,9.4
100人以上,18.9,19.4,18,154.1,162.3,139.8,139.6,145.5,129.3,14.5,16.8,10.5
30～99人,18.5,19.4,17.1,144.7,159,124.5,133.6,145.1,117.4,11.1,13.9,7.1
５～29人,18.3,19.4,16.9,139.4,156.1,119,131.6,145.5,114.6,7.8,10.6,4.4
30人以上,18.7,19.4,17.6,150.7,161.1,133.8,137.4,145.3,124.6,13.3,15.8,9.2
５人以上,18.6,19.4,17.4,147.1,159.7,128.5,135.6,145.4,121,11.5,14.3,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
