規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,503517,585403,336647,455163,527974,306787,413004,42159,48354,57429,29860
100～499人,397906,466795,288753,361198,429137,253551,332611,28587,36708,37658,35202
100人以上,444111,521328,307825,402308,474580,274750,367783,34525,41803,46748,33075
30～99人,340635,423618,225470,313879,387079,212290,295624,18255,26756,36539,13180
５～29人,258473,320632,175942,250541,310243,171272,239048,11493,7932,10389,4670
30人以上,406545,487944,275082,370205,444684,249917,341587,28618,36340,43260,25165
５人以上,359225,437326,240840,331963,404011,222754,308818,23145,27262,33315,18086
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年３月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
