規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.8,19.2,18.2,155.1,160.6,144.1,140.1,144,132.4,15,16.6,11.7
100～499人,18.5,19,17.6,150.4,159.4,135.6,136.9,143.2,126.5,13.5,16.2,9.1
100人以上,18.6,19.1,17.9,152.4,160,138.9,138.3,143.6,128.8,14.1,16.4,10.1
30～99人,18.3,19.1,17,143.4,156.8,124.6,132.1,142.4,117.6,11.3,14.4,7
５～29人,18,19,16.7,137,152.9,117.5,129.6,142.8,113.3,7.4,10.1,4.2
30人以上,18.5,19.1,17.5,149.1,158.9,133.3,136,143.2,124.4,13.1,15.7,8.9
５人以上,18.3,19.1,17.2,145.3,157.1,127.7,134,143.1,120.5,11.3,14,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
