規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.9,164.8,150.7,14.1,14.1,85.2,82.7,2.5
５人以上,"鉱業,採石業,砂利採取業",19.4,153.4,142,11.4,9.3,59.5,59.5,0
５人以上,建設業,20.8,174.9,159.1,15.8,15.4,104.3,102.8,1.5
５人以上,製造業,20,167.1,154.2,12.9,16.4,124,116.8,7.2
５人以上,電気・ガス・熱供給・水道業,19.7,167.6,144.2,23.4,18,128.8,127.7,1.1
５人以上,情報通信業,19.3,168.3,145.8,22.5,15,101.4,97.2,4.2
５人以上,"運輸業,郵便業",20.4,180.4,156.6,23.8,17.1,110.5,102.3,8.2
５人以上,"卸売業,小売業",20.1,161.4,152.7,8.7,15,90.7,88.5,2.2
５人以上,"金融業,保険業",19,158.1,142.3,15.8,15.9,106.2,102.6,3.6
５人以上,"不動産業,物品賃貸業",20.5,166.2,152.5,13.7,15.8,94.2,91.9,2.3
５人以上,"学術研究,専門・技術サービス業",19.8,164.4,146.7,17.7,16.4,113.6,111.2,2.4
５人以上,"宿泊業,飲食サービス業",20.8,178.4,163.8,14.6,13.5,77.7,75.6,2.1
５人以上,"生活関連サービス業,娯楽業",20.8,171.1,159.8,11.3,15.2,96,94,2
５人以上,"教育,学習支援業",19.6,149.1,142.9,6.2,9.5,50,49.4,0.6
５人以上,"医療,福祉",19.6,154.5,147.5,7,13.1,73.7,72.3,1.4
５人以上,複合サービス事業,18.5,155.4,144,11.4,16.1,102.4,100.4,2
５人以上,サービス業（他に分類されないもの）,19.8,161.3,147.4,13.9,15,95.1,90.8,4.3
30人以上,調査産業計,19.6,163,147.8,15.2,14.3,87.4,84,3.4
30人以上,"鉱業,採石業,砂利採取業",19.4,153.4,142,11.4,9.3,59.5,59.5,0
30人以上,建設業,20.3,172.3,154.4,17.9,17.6,127.4,124.1,3.3
30人以上,製造業,19.7,165.7,152,13.7,17.7,132.7,122.9,9.8
30人以上,電気・ガス・熱供給・水道業,19.6,166.6,143,23.6,18.4,135.6,135,0.6
30人以上,情報通信業,19.2,168,144.8,23.2,15.6,103.1,96.5,6.6
30人以上,"運輸業,郵便業",20.2,179.6,155.1,24.5,17.1,111.7,102.3,9.4
30人以上,"卸売業,小売業",19.7,158.7,148.9,9.8,15.5,94.1,90.9,3.2
30人以上,"金融業,保険業",18.9,158,141.5,16.5,15.7,107,103,4
30人以上,"不動産業,物品賃貸業",19.9,163.8,148.6,15.2,17.8,97,95,2
30人以上,"学術研究,専門・技術サービス業",19.6,164.3,143.6,20.7,15.1,102,97.1,4.9
30人以上,"宿泊業,飲食サービス業",20.6,171.9,161.4,10.5,13.7,79,76.5,2.5
30人以上,"生活関連サービス業,娯楽業",20.3,168.4,153.3,15.1,15,95.6,93.3,2.3
30人以上,"教育,学習支援業",19.6,147,141.6,5.4,8.9,44.4,43.8,0.6
30人以上,"医療,福祉",19.5,154.1,147.1,7,12.9,75.1,73.3,1.8
30人以上,複合サービス事業,18.5,156.1,143.6,12.5,16.2,102.5,101.3,1.2
30人以上,サービス業（他に分類されないもの）,19.5,159.3,145.1,14.2,15,94.7,90.2,4.5
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１１月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
