規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,103.6,－,359.1,95.5,98,72.6,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,109.6,5.8,144.3,84,100.1,115.9,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,-8.8,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
５人以上,平成18,2006,年平均,104.6,4.6,105.5,114,102.4,106.2,96,110.2,113.1,119.3,－,－,－,－,94,96.1,94.6,－
５人以上,平成19,2007,年平均,105.1,0.5,108.5,134,103.8,129.5,98.8,106.1,116.3,144.4,－,－,－,－,76.9,101.5,86.4,－
５人以上,平成20,2008,年平均,105.7,0.6,88.1,150.6,99.2,156.2,99.9,99.2,120.2,155.2,－,－,－,－,66.1,120,55.9,－
５人以上,平成21,2009,年平均,98.6,-6.7,96.6,137.8,82.3,167.1,100.8,96.2,108.2,147.5,－,－,－,－,52.1,122.4,62.3,－
５人以上,平成22,2010,年平均,101.3,2.7,100.9,131,91.5,166,103,97.1,107.8,148.3,－,－,－,－,55,139,67.4,－
５人以上,平成22,2010,9月,96.5,2.9,86.9,136.7,91.1,166.9,98,98.6,90.1,142.9,－,－,－,－,59.5,121.2,58.3,－
５人以上,平成22,2010,10月,101.8,2.7,92.3,137.6,95.2,178.5,103.5,100.9,104.2,149.5,－,－,－,－,62,123.1,69.9,－
５人以上,平成22,2010,11月,104.4,5.3,90.8,147.7,97.6,176,106,104.5,108.5,148.6,－,－,－,－,62,130.8,67.5,－
５人以上,平成22,2010,12月,103.5,3.5,82.3,135.8,94.4,147.9,104,111.4,111.3,141,－,－,－,－,55.7,136.5,63.8,－
５人以上,平成23,2011,1月,97.3,0,89.2,134.9,84.7,169.4,100,90.9,105.6,139,－,－,－,－,49.4,132.7,57.7,－
５人以上,平成23,2011,2月,100,1.8,93.8,154.1,94.4,180.2,106.5,93.6,108.5,139,－,－,－,－,54.4,90.4,60.7,－
５人以上,平成23,2011,3月,100.9,-6.6,92.3,165.1,92.7,336.4,101.5,101.4,98.6,154.3,－,－,－,－,55.7,132.7,68.7,－
５人以上,平成23,2011,4月,101.8,-8,99.2,145.9,88.7,261.2,106,97.7,111.3,153.3,－,－,－,－,64.6,126.9,62,－
５人以上,平成23,2011,5月,94.7,-5.3,83.8,131.2,81.5,234.7,99.5,88.2,94.4,144.8,－,－,－,－,55.7,134.6,55.2,－
５人以上,平成23,2011,6月,99.1,0.9,83.8,125.7,93.5,214,104.5,99.1,100,139,－,－,－,－,58.2,125,51.5,－
５人以上,平成23,2011,7月,97.3,-3.6,88.5,137.6,92.7,181.8,101.5,93.6,98.6,141.9,－,－,－,－,49.4,132.7,49.7,－
５人以上,平成23,2011,8月,93.8,-1.9,80,140.4,85.5,171.9,100,89.5,94.4,131.4,－,－,－,－,25.3,117.3,44.8,－
５人以上,平成23,2011,9月,96.5,0,76.2,147.7,89.5,177.7,101.5,88.6,97.2,137.1,－,－,－,－,51.9,117.3,57.7,－
