規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,6856876,4098324,2758552,107807,53592,54215,99657,51343,48314,6865026,4100573,2764453,22.3,12.4,36.9
５人以上,"鉱業,採石業,砂利採取業",2266,1771,495,16,16,0,32,28,4,2250,1759,491,0.4,0.6,0
５人以上,建設業,310597,264870,45727,2164,1809,355,3121,2713,408,309640,263966,45674,2.7,1.1,11.9
５人以上,製造業,673580,503909,169671,4455,3185,1270,4886,3783,1103,673149,503311,169838,7.5,3.1,20.4
５人以上,電気・ガス・熱供給・水道業,33975,29322,4653,586,411,175,294,230,64,34267,29503,4764,4.1,2.7,12.3
５人以上,情報通信業,727422,540424,186998,5121,3141,1980,7144,4877,2267,725399,538688,186711,3,1.1,8.4
５人以上,"運輸業,郵便業",368121,301205,66916,9918,6963,2955,4257,3150,1107,373782,305018,68764,11.2,8.3,24.2
５人以上,"卸売業,小売業",1453994,825695,628299,18112,8622,9490,17383,8703,8680,1454723,825614,629109,25.2,13.3,40.9
５人以上,"金融業,保険業",372539,212542,159997,2924,1825,1099,3856,2423,1433,371607,211944,159663,5.2,1.9,9.7
５人以上,"不動産業,物品賃貸業",178683,119049,59634,3420,1818,1602,2676,1856,820,179427,119011,60416,23.6,17.1,36.3
５人以上,"学術研究,専門・技術サービス業",336746,222188,114558,2693,1481,1212,3097,925,2172,336342,222744,113598,6.2,3.5,11.7
５人以上,"宿泊業,飲食サービス業",619621,296155,323466,25291,10885,14406,21471,10963,10508,623441,296077,327364,69.4,56,81.6
５人以上,"生活関連サービス業,娯楽業",188606,92044,96562,4379,2337,2042,4508,1706,2802,188477,92675,95802,33.1,21.9,43.9
５人以上,"教育,学習支援業",372273,192888,179385,3508,1573,1935,2659,1322,1337,373122,193139,179983,31.7,24.5,39.5
５人以上,"医療,福祉",521512,132169,389343,7807,2450,5357,9448,2804,6644,519871,131815,388056,32.3,23.7,35.2
５人以上,複合サービス事業,56333,37651,18682,223,33,190,1443,1140,303,55113,36544,18569,18.2,7.5,39.2
５人以上,サービス業（他に分類されないもの）,640608,326442,314166,17190,7043,10147,13382,4720,8662,644416,328765,315651,25.3,14.7,36.5
30人以上,調査産業計,4681759,2898784,1782975,59507,31954,27553,54680,28763,25917,4686586,2901975,1784611,16.4,8.2,29.6
30人以上,"鉱業,採石業,砂利採取業",2266,1771,495,16,16,0,32,28,4,2250,1759,491,0.4,0.6,0
30人以上,建設業,191006,168607,22399,1166,952,214,1280,1133,147,190892,168426,22466,1.7,0.6,9.9
30人以上,製造業,508371,387090,121281,3484,2715,769,3388,2460,928,508467,387345,121122,6.2,3.1,16
30人以上,電気・ガス・熱供給・水道業,30906,26688,4218,586,411,175,258,230,28,31234,26869,4365,3.5,2.4,10.1
30人以上,情報通信業,624534,468551,155983,3783,2357,1426,4949,3622,1327,623368,467286,156082,2.2,0.5,7.2
30人以上,"運輸業,郵便業",291897,237426,54471,7135,5346,1789,3663,2697,966,295369,240075,55294,10.8,8.9,19.2
30人以上,"卸売業,小売業",859252,500581,358671,7577,4128,3449,6639,3626,3013,860190,501083,359107,17.8,5.5,35
30人以上,"金融業,保険業",316162,180178,135984,2307,1396,911,3265,2109,1156,315204,179465,135739,4.9,2.1,8.6
30人以上,"不動産業,物品賃貸業",111694,74221,37473,1731,1100,631,1274,800,474,112151,74521,37630,17.6,11.1,30.5
30人以上,"学術研究,専門・技術サービス業",222229,163780,58449,1542,1029,513,1352,785,567,222419,164024,58395,3.4,1.9,7.9
30人以上,"宿泊業,飲食サービス業",213531,110831,102700,5861,2611,3250,5084,2509,2575,214308,110933,103375,57.3,42.5,73
30人以上,"生活関連サービス業,娯楽業",98963,44564,54399,1904,902,1002,2513,883,1630,98354,44583,53771,37.1,21.8,49.8
30人以上,"教育,学習支援業",284186,159281,124905,2809,1406,1403,1509,962,547,285486,159725,125761,27.6,20.3,36.8
30人以上,"医療,福祉",365327,102575,262752,4755,2026,2729,6063,1772,4291,364019,102829,261190,27,23.8,28.3
30人以上,複合サービス事業,41383,31065,10318,54,33,21,1226,1054,172,40211,30044,10167,16,8.7,37.6
30人以上,サービス業（他に分類されないもの）,520052,241575,278477,14797,5526,9271,12185,4093,8092,522664,243008,279656,28.3,17.7,37.5
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２３年１１月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
