"年月[西暦]","調査項目","設問","項目","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F","選択肢G","選択肢H","選択肢I","選択肢J","選択肢K","選択肢L","選択肢M","選択肢N","選択肢O","選択肢P","選択肢Q","選択肢R","選択肢S","選択肢T"
"202203","あなたご自身について","Q33. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(5)あなたのお住まいはどの地区ですか。","全体",,"558","13","9","15","31","18","19","21","22","25","45","10","26","54","29","32","31","69","56","14","19"
"202203","あなたご自身について","Q33. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(5)あなたのお住まいはどの地区ですか。","性・年代別","男性（計）","231","7","3","9","10","5","10","10","9","12","20","7","11","18","15","13","15","26","24","5","2"
"202203","あなたご自身について","Q33. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(5)あなたのお住まいはどの地区ですか。","性・年代別","男性 18～29歳","13","0","0","0","1","1","1","0","1","0","0","0","0","2","1","2","3","1","0","0","0"
"202203","あなたご自身について","Q33. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(5)あなたのお住まいはどの地区ですか。","性・年代別","男性 30～39歳","38","0","1","1","2","1","1","1","1","3","3","1","1","2","3","3","2","7","4","1","0"
"202203","あなたご自身について","Q33. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(5)あなたのお住まいはどの地区ですか。","性・年代別","男性 40～49歳","50","3","1","1","3","1","3","4","1","2","1","1","4","3","3","1","7","5","4","2","0"
"202203","あなたご自身について","Q33. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(5)あなたのお住まいはどの地区ですか。","性・年代別","男性 50～59歳","47","3","1","2","2","0","2","1","3","2","3","2","2","1","3","3","0","7","8","2","0"
"202203","あなたご自身について","Q33. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(5)あなたのお住まいはどの地区ですか。","性・年代別","男性 60～69歳","42","0","0","3","1","0","2","2","1","2","8","1","3","6","1","2","3","2","4","0","1"
"202203","あなたご自身について","Q33. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(5)あなたのお住まいはどの地区ですか。","性・年代別","男性 70歳以上","40","1","0","2","1","2","1","2","2","3","5","2","1","4","4","2","0","4","4","0","0"
"202203","あなたご自身について","Q33. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(5)あなたのお住まいはどの地区ですか。","性・年代別","男性 無回答","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"202203","あなたご自身について","Q33. 最後に、お答えいただいた「あなた」ご自身のことについておたずねします。","項目(5)あなたのお住まいはどの地区ですか。","性・年代別","女性（計）","313","6","6","6","21","13","9","11","12","13","25","3","14","36","14","19","16","43","31","8","7"
