 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,134","15,813,494","5,911","43,788,148",746,"13,584,614","2,062","37,700,591"
外航計,459,"11,612,037","1,287","32,410,564",439,"11,253,534","1,224","31,555,430"
外航定期計,439,"11,253,534","1,224","31,555,430",439,"11,253,534","1,224","31,555,430"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),45,"2,974,964",131,"8,516,424",45,"2,974,964",131,"8,516,424"
北米東岸(カリビア海含む),9,"722,282",24,"1,905,741",9,"722,282",24,"1,905,741"
北欧・地中海,5,"498,840",14,"1,370,162",5,"498,840",14,"1,370,162"
南米西岸,4,"506,439",12,"1,605,816",4,"506,439",12,"1,605,816"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,4,"183,145",13,"595,489",4,"183,145",13,"595,489"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,160,"4,000,476",436,"11,064,412",160,"4,000,476",436,"11,064,412"
台湾,-,-,-,-,-,-,-,-
韓国,49,"425,058",137,"1,190,558",49,"425,058",137,"1,190,558"
中国(香港含む),163,"1,942,330",457,"5,306,828",163,"1,942,330",457,"5,306,828"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,20,"358,503",63,"855,134",-,-,-,-
内航計,"1,675","4,201,457","4,624","11,377,584",307,"2,331,080",838,"6,145,161"
内航定期計,616,"3,101,537","1,677","8,264,307",304,"2,329,335",825,"6,123,646"
北海道,98,"1,136,822",273,"3,187,650",98,"1,136,822",273,"3,187,650"
東北,55,"38,938",178,"138,840",55,"38,938",173,"135,095"
関東,111,"30,880",303,"83,567",-,-,2,998
伊豆諸島,170,"349,606",462,"980,442",-,-,1,155
中部,32,"46,458",76,"97,192",32,"46,458",76,"97,192"
近畿,17,"42,895",52,"140,835",17,"42,895",52,"140,835"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,107,"1,181,061",262,"2,886,347",76,"789,345",177,"1,812,287"
沖縄,26,"274,877",71,"749,434",26,"274,877",71,"749,434"
内航不定期,"1,059","1,099,920","2,947","3,113,277",3,"1,745",13,"21,515"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
