 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,134 ","15,813,494 ","5,911 ","43,788,148 ",459 ,"11,612,037 ","1,287 ","32,410,564 ","1,675 ","4,201,457 ","4,624 ","11,377,584 "
公共計,"1,050 ","5,887,200 ","2,871 ","15,806,718 ",184 ,"2,674,772 ",510 ,"7,181,345 ",866 ,"3,212,428 ","2,361 ","8,625,373 "
ドルフィン,5 ,"3,240 ",16 ,"10,209 ",-,-,-,-,5 ,"3,240 ",16 ,"10,209 "
芝浦ふ頭,30 ,"68,779 ",89 ,"213,765 ",-,-,-,-,30 ,"68,779 ",89 ,"213,765 "
芝浦物揚場,26 ,"12,014 ",75 ,"34,554 ",-,-,-,-,26 ,"12,014 ",75 ,"34,554 "
日の出ふ頭,6 ,"5,180 ",19 ,"15,655 ",-,-,-,-,6 ,"5,180 ",19 ,"15,655 "
竹芝ふ頭,176 ,"406,498 ",476 ,"1,117,858 ",-,-,-,-,176 ,"406,498 ",476 ,"1,117,858 "
品川岸壁,150 ,"1,605,828 ",432 ,"4,628,252 ",78 ,"774,514 ",223 ,"2,234,584 ",72 ,"831,314 ",209 ,"2,393,668 "
品川コンテナ,81 ,"739,807 ",233 ,"2,130,453 ",75 ,"733,468 ",214 ,"2,111,446 ",6 ,"6,339 ",19 ,"19,007 "
品川外貿,3 ,"41,046 ",9 ,"123,138 ",3 ,"41,046 ",9 ,"123,138 ",-,-,-,-
品川内貿,66 ,"824,975 ",190 ,"2,374,661 ",-,-,-,-,66 ,"824,975 ",190 ,"2,374,661 "
晴海ふ頭,7 ,"102,960 ",12 ,"116,629 ",5 ,"95,780 ",6 ,"97,878 ",2 ,"7,180 ",6 ,"18,751 "
月島ふ頭,2 ,650 ,7 ,"2,275 ",-,-,-,-,2 ,650 ,7 ,"2,275 "
漁業基地,-,-,1 ,986 ,-,-,-,-,-,-,1 ,986 
10号西岸壁,82 ,"896,660 ",200 ,"2,141,458 ",-,-,-,-,82 ,"896,660 ",200 ,"2,141,458 "
10号東岸壁,35 ,"15,677 ",93 ,"41,145 ",-,-,-,-,35 ,"15,677 ",93 ,"41,145 "
東京港フェリーふ頭,31 ,"391,716 ",85 ,"1,074,060 ",-,-,-,-,31 ,"391,716 ",85 ,"1,074,060 "
多目的ふ頭,1 ,986 ,2 ,"3,542 ",-,-,-,-,1 ,986 ,2 ,"3,542 "
辰巳ふ頭,82 ,"28,376 ",234 ,"83,650 ",-,-,-,-,82 ,"28,376 ",234 ,"83,650 "
青海コンテナふ頭（公共）,141 ,"1,659,554 ",388 ,"4,494,616 ",91 ,"1,614,007 ",250 ,"4,361,297 ",50 ,"45,547 ",138 ,"133,319 "
有明ふ頭,2 ,"1,216 ",14 ,"13,249 ",-,-,-,-,2 ,"1,216 ",14 ,"13,249 "
大井水産物ふ頭,1 ,379 ,1 ,379 ,1 ,379 ,1 ,379 ,-,-,-,-
大井食品ふ頭（OL）,25 ,"80,678 ",53 ,"198,269 ",3 ,"76,584 ",8 ,"190,537 ",22 ,"4,094 ",45 ,"7,732 "
大井食品ふ頭（OM）,4 ,"35,848 ",14 ,"125,536 ",4 ,"35,848 ",14 ,"125,536 ",-,-,-,-
若洲内貿ふ頭,13 ,"130,442 ",35 ,"351,190 ",-,-,-,-,13 ,"130,442 ",35 ,"351,190 "
15号地木材ふ頭,6 ,"37,052 ",11 ,"100,341 ",1 ,"35,998 ",3 ,"98,693 ",5 ,"1,054 ",8 ,"1,648 "
若洲建材ふ頭,50 ,"28,414 ",123 ,"69,869 ",-,-,-,-,50 ,"28,414 ",123 ,"69,869 "
大井建材ふ頭,95 ,"53,433 ",263 ,"149,939 ",-,-,-,-,95 ,"53,433 ",263 ,"149,939 "
城南島建設発生土ふ頭,49 ,"32,534 ",125 ,"76,917 ",-,-,-,-,49 ,"32,534 ",125 ,"76,917 "
中央防波堤内側ばら物ふ頭,1 ,"41,662 ",13 ,"76,318 ",1 ,"41,662 ",5 ,"72,441 ",-,-,8 ,"3,877 "
中央防波堤内側建設発生土ふ頭,-,-,9 ,"12,213 ",-,-,-,-,-,-,9 ,"12,213 "
中央防波堤内側内貿ふ頭,23 ,"243,366 ",60 ,"635,238 ",-,-,-,-,23 ,"243,366 ",60 ,"635,238 "
官公庁（晴海）,2 ,"3,069 ",5 ,"10,840 ",-,-,-,-,2 ,"3,069 ",5 ,"10,840 "
官公庁（月島）,5 ,989 ,14 ,"2,772 ",-,-,-,-,5 ,989 ,14 ,"2,772 "
官公庁（有明）,-,-,2 ,"4,994 ",-,-,-,-,-,-,2 ,"4,994 "
東京港埠頭㈱計,383 ,"8,923,192 ","1,068 ","25,058,236 ",250 ,"8,666,380 ",705 ,"24,399,109 ",133 ,"256,812 ",363 ,"659,127 "
青海コンテナふ頭(埠頭㈱),84 ,"2,009,566 ",217 ,"5,349,451 ",66 ,"1,988,442 ",181 ,"5,311,419 ",18 ,"21,124 ",36 ,"38,032 "
お台場ライナーふ頭,31 ,"219,859 ",102 ,"627,441 ",10 ,"140,651 ",33 ,"403,171 ",21 ,"79,208 ",69 ,"224,270 "
大井コンテナふ頭,268 ,"6,693,767 ",749 ,"19,081,344 ",174 ,"6,537,287 ",491 ,"18,684,519 ",94 ,"156,480 ",258 ,"396,825 "
民間計,701 ,"1,003,102 ","1,972 ","2,923,194 ",25 ,"270,885 ",72 ,"830,110 ",676 ,"732,217 ","1,900 ","2,093,084 "
,,,,,,,,,,,,
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
