 2-(1)入港船舶月別前年比較表,,,,,,,,,,,,(単位：隻、総トン）
年月,平成31年(2019年),,,,,,平成30年(2018年),,,,,
,総数,,外航船,,内航船,,総数,,外航船,,内航船,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
１月　,"1,894","14,030,164",429,"10,478,863","1,465","3,551,301","1,835","14,433,124",440,"10,830,089","1,395","3,603,035"
,103.2%,97.2%,97.5%,96.8%,105.0%,98.6%,,,,,,
２月　,"1,883","13,944,490",399,"10,319,664","1,484","3,624,826","1,983","13,924,842",421,"10,359,544","1,562","3,565,298"
,95.0%,100.1%,94.8%,99.6%,95.0%,101.7%,,,,,,
３月　,"2,134","15,813,494",459,"11,612,037","1,675","4,201,457","2,105","14,753,593",450,"10,811,631","1,655","3,941,962"
,101.4%,107.2%,102.0%,107.4%,101.2%,106.6%,,,,,,
４月　,-,-,-,-,-,-,"2,021","15,131,346",460,"11,352,932","1,561","3,778,414"
,-,-,-,-,-,-,,,,,,
５月　,-,-,-,-,-,-,"2,069","15,293,599",478,"11,606,409","1,591","3,687,190"
,-,-,-,-,-,-,,,,,,
６月　,-,-,-,-,-,-,"2,033","15,526,232",474,"11,652,580","1,559","3,873,652"
,-,-,-,-,-,-,,,,,,
７月　,-,-,-,-,-,-,"2,093","16,001,895",466,"11,998,742","1,627","4,003,153"
,-,-,-,-,-,-,,,,,,
８月　,-,-,-,-,-,-,"1,947","15,349,486",462,"11,722,729","1,485","3,626,757"
,-,-,-,-,-,-,,,,,,
９月　,-,-,-,-,-,-,"1,935","15,032,128",449,"11,244,739","1,486","3,787,389"
,-,-,-,-,-,-,,,,,,
１０月　,-,-,-,-,-,-,"2,135","15,718,971",456,"11,688,322","1,679","4,030,649"
,-,-,-,-,-,-,,,,,,
１１月　,-,-,-,-,-,-,"2,131","16,321,942",477,"12,340,431","1,654","3,981,511"
,-,-,-,-,-,-,,,,,,
１２月　,-,-,-,-,-,-,"2,088","15,625,053",465,"11,704,491","1,623","3,920,562"
,-,-,-,-,-,-,,,,,,
累計,"5,911","43,788,148","1,287","32,410,564","4,624","11,377,584","24,375","183,112,211","5,498","137,312,639","18,877","45,799,572"
,99.8%,101.6%,98.2%,101.3%,100.3%,102.4%,,,,,,
前年累計,"5,923","43,111,559","1,311","32,001,264","4,612","11,110,295",,,,,,
増(－)減,-12,"676,589",-24,"409,300",12,"267,289",,,,,,
,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
