"年月[西暦]","調査項目","設問","事業","回答者の属性種別","回答者の属性","参加・利用したことがある[人]","内容は知っている[人]","名前は知っている[人]","知らない[人]","無回答[人]","参加・利用したことがある[%]","内容は知っている[%]","名前は知っている[%]","知らない[%]","無回答[%]"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","性別","男性","8","8","14","126","0","5.1","5.1","9.0","80.8","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","性別","女性","10","17","44","199","1","3.7","6.3","16.2","73.4","0.4"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","年齢","18～29歳","1","3","2","27","0","3.0","9.1","6.1","81.8","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","年齢","30～39歳","3","2","4","56","0","4.6","3.1","6.2","86.2","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","年齢","40～49歳","1","3","11","81","0","1.0","3.1","11.5","84.4","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","年齢","50～59歳","5","2","10","73","0","5.6","2.2","11.1","81.1","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","年齢","60～69歳","3","5","12","40","0","5.0","8.3","20.0","66.7","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","年齢","70歳以上","5","10","20","48","1","6.0","11.9","23.8","57.1","1.2"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","性別","男性","2","9","18","127","0","1.3","5.8","11.5","81.4","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","性別","女性","4","11","29","221","6","1.5","4.1","10.7","81.5","2.2"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","年齢","18～29歳","1","1","3","28","0","3.0","3.0","9.1","84.8","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","年齢","30～39歳","0","3","8","54","0","0.0","4.6","12.3","83.1","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","年齢","40～49歳","0","4","10","82","0","0.0","4.2","10.4","85.4","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","年齢","50～59歳","1","1","7","81","0","1.1","1.1","7.8","90.0","0.0"
