"年度","区分","総数[件]","感染症[件]","結核[件]","精神障害[件]","心身障害[件]","長期療養児[件]","生活習慣病[件]","その他の疾患[件]","妊産婦[件]","乳児[件]","幼児[件]","その他[件]"
"2015","保健機関","3491","231","490","984","44","31","8","59","310","997","203","134"
"2015","医療機関","2420","190","352","1153","44","65","21","35","189","219","45","107"
"2015","福祉関係","7637","324","229","5114","135","93","49","91","327","546","507","222"
"2015","その他","1180","245","329","366","0","7","12","18","31","51","20","101"
"2015","総数","14728","990","1400","7617","223","196","90","203","857","1813","775","564"
"2016","保健機関","3948","554","520","1084","23","33","2","11","450","929","322","20"
"2016","医療機関","3055","407","468","1450","41","23","3","25","241","302","85","10"
"2016","福祉関係","7491","227","202","5374","96","73","9","65","307","470","661","7"
"2016","その他","887","245","224","283","3","0","5","5","18","46","58","0"
"2016","総数","15381","1433","1414","8191","163","129","19","106","1016","1747","1126","37"
"2017","保健機関","4630","322","333","1129","119","56","5","32","816","1344","402","72"
"2017","医療機関","2975","243","232","1349","96","49","7","31","433","387","138","10"
"2017","福祉関係","8464","234","234","5481","158","83","54","144","519","703","829","25"
"2017","その他","987","241","109","364","13","7","4","19","50","103","39","38"
"2017","総数","17056","1040","908","8323","386","195","70","226","1818","2537","1408","145"
"2018","保健機関","4309","438","424","775","101","57","16","13","1080","1126","276","3"
"2018","医療機関","2937","380","190","1184","213","65","27","13","351","319","154","41"
"2018","福祉関係","7678","137","31","5022","275","83","107","58","523","543","873","26"
"2018","その他","747","205","196","213","1","3","6","0","12","49","42","20"
"2018","総数","15671","1160","841","7194","590","208","156","84","1966","2037","1345","90"
"2019","保健機関","5915","747","107","993","84","85","29","27","1670","1826","207","140"
"2019","医療機関","4869","1463","416","1371","96","95","20","74","421","476","158","279"
"2019","福祉関係","7869","377","6","5175","91","34","54","90","664","693","582","103"
"2019","その他","948","229","183","361","2","0","18","6","18","38","58","35"
"2019","総数","19601","2816","712","7900","273","214","121","197","2773","3033","1005","557"

"令和2年度港区行政資料集　保健師の個別援助活動の状況 関係機関連絡","Ver202003",,,,,,,,,,,,
