区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
BP-1／官公庁施設,77.7,15.4,5.8,1
BP-2／教育文化施設,76.5,10.8,7,5.7
BP-3／厚生医療施設,78.6,14.3,6.4,0.7
BP-4／供給処理施設,86.5,11.1,2.2,0.3
BC-1／事務所建築物,66,23.6,8.9,1.6
BC-2／専用商業施設,60.4,32.1,6.6,1
BC-3／住商併用施設,34.3,16.5,43.8,5.5
BC-4／宿泊・遊興施設,66,17.6,11.4,4.9
BC-5／スポーツ・興行施設,72.7,21.9,4.2,1.2
BR-1／独立住宅,1.3,16.2,72.5,10
BR-2／集合住宅,60.9,19.3,19.1,0.7
BI-1／専用工場,44.1,46.1,6.8,3
BI-2／住居併用工場,16.7,26.5,41.5,15.3
BI-3／倉庫運輸関係施設,47.2,40.6,7.7,4.4
BA／農林漁業施設,3,31.1,16.4,49.6
