地域,Area,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
八王子市,Hachioji,26,3.2,5,2,9.6,4.2,1.1,45.6,3.4
立川市,Tachikawa,49.3,10.7,7.2,4.3,15.4,9.9,0.8,1.5,1
武蔵野市,Musashino,69.6,2.6,6.7,1.1,16.9,2.7,0.5,0.1,0
三鷹市,Mitaka,64.9,2.6,4.3,2.2,15.7,8.3,1.2,0.6,0.1
青梅市,Ome,14.4,3.4,3,1.4,5.2,4.6,1.3,65.1,1.5
府中市,Fuchu,56.1,4.1,9.5,1.7,17.5,4.2,1.6,0.4,4.9
昭島市,Akishima,50,3.8,9.8,3.8,15.3,3.8,3.1,2,8.5
調布市,Chofu,57.8,2.3,8.4,1.7,17.1,5.6,2.2,1.9,3
町田市,Machida,46.1,3.2,6.3,1.8,14.6,6.4,1,17.7,2.9
小金井市,Koganei,64.5,1.9,8.9,1.3,16,5.4,1.1,0.8,0.2
小平市,Kodaira,62.1,3.7,7.2,1.2,15.5,8.2,0.4,1.5,0.1
日野市,Hino,47,3.3,5.4,2.8,16.8,4.7,3.1,6.6,10.3
東村山市,Higashimurayama,57,3.9,5.9,2.2,16,8.5,1,4.1,1.3
国分寺市,Kokubunji,62.4,3.6,2.8,1.9,15.7,11.1,0.2,2,0.3
国立市,Kunitachi,63,3.5,2.7,1.7,18.6,6.6,1.1,0.8,2.1
福生市,Fussa,37.9,36,3.8,1,13.5,1.4,1.1,1.7,3.5
狛江市,Komae,61.6,2.3,3.7,1.1,17.1,4.9,3.7,0.9,4.7
東大和市,Higashiyamato,42.8,3.8,6.7,2.6,14.2,4.5,10.9,14.3,0.2
清瀬市,Kiyose,51.4,3,3.4,2.5,15.2,18.4,0.8,3.5,1.7
東久留米市,Higashikurume,58.4,3.4,4.2,1.6,17.2,11.5,0.6,2.6,0.6
武蔵村山市,Musashimurayama,43.4,10.1,2.5,5.7,11.8,11.9,0.7,13.4,0.5
多摩市,Tama,44.3,3.2,14.4,2.5,19.2,1.6,1.9,6.6,6.3
稲城市,Inagi,32.1,10.3,15.5,6,14.7,6.8,1.5,9.8,3.4
羽村市,Hamura,57.3,8.6,4.2,2.2,15.1,3.8,2.4,1.7,4.6
あきる野市,Akiruno,13.8,2.1,3.9,1.4,5,6.2,1.9,62,3.7
西東京市,Nishitokyo,63.2,3.2,4.6,1.7,17.9,8.4,0.3,0.6,0.2
瑞穂町,Mizuho,31.9,18.3,2.4,2.8,10.2,15.3,0.3,18.4,0.5
日の出町,Hinode,12.1,3.3,1.4,1.3,4,4.6,0.9,70.5,1.9
