区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
BP-1／官公庁施設,87.7,8.6,3.2,0.5
BP-2／教育文化施設,86.3,7.1,4,2.6
BP-3／厚生医療施設,86.5,9.4,3.8,0.3
BP-4／供給処理施設,90.2,8.1,1.5,0.1
BC-1／事務所建築物,79.5,14.7,5.1,0.7
BC-2／専用商業施設,72.9,22.2,4.3,0.6
BC-3／住商併用施設,49.4,14.6,32.7,3.3
BC-4／宿泊・遊興施設,79.5,11.8,6.5,2.2
BC-5／スポーツ・興行施設,82.7,14,2.6,0.7
BR-1／独立住宅,1.5,17.3,73.3,7.9
BR-2／集合住宅,77.8,11.6,10.3,0.3
BI-1／専用工場,56.6,36.6,5,1.8
BI-2／住居併用工場,22.2,26.5,40,11.4
BI-3／倉庫運輸関係施設,62.4,29.9,5.3,2.4
BA／農林漁業施設,2.8,29.1,19.5,48.6
