規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.3,19.7,18.6,157.7,163.7,146.5,142.5,146.8,134.5,15.2,16.9,12
100～499人,19.3,19.7,18.4,158,168,140.6,142.5,149.5,130.3,15.5,18.5,10.3
100人以上,19.3,19.7,18.5,157.9,166,143.3,142.5,148.2,132.2,15.4,17.8,11.1
30～99人,19.2,20,18.2,153.9,168.1,133.3,140.6,151.1,125.4,13.3,17,7.9
５～29人,18.5,19.7,17,141.5,158.8,120.9,133.1,147.6,115.8,8.4,11.2,5.1
30人以上,19.3,19.8,18.4,156.6,166.6,139.6,141.9,149.1,129.7,14.7,17.5,9.9
５人以上,19,19.7,17.9,152,164.5,133.1,139.2,148.7,124.9,12.8,15.8,8.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
