産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,5.73,4.53,6.15,4.44
"鉱業,採石業,砂利採取業",4.39,2,4.39,2
建設業,5.08,2.64,6.09,1.84
製造業,4.84,3.14,5.64,3.38
電気・ガス・熱供給・水道業,3.01,35.84,2.8,38.6
情報通信業,3.83,2.81,4.07,2.77
"運輸業,郵便業",5.53,3.65,5.46,3.63
"卸売業,小売業",3.98,3.4,3.59,3.03
"金融業,保険業",6.99,5.04,7,4.98
"不動産業,物品賃貸業",4.43,3.69,4.82,3.34
"学術研究,専門・技術サービス業",6.02,3.56,7.48,4.19
"宿泊業,飲食サービス業",5.96,6.72,6.72,5.04
"生活関連サービス業,娯楽業",6.36,4.09,5.58,2.6
"教育,学習支援業",15.12,11.62,16.88,12.52
"医療,福祉",7.19,4.36,8.12,4.46
複合サービス事業,10.24,11.49,18.78,15.87
サービス業（他に分類されないもの）,5.51,4.65,5.67,4.81
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年４月分,,,,
第４表  産業別労働異動率,,,,
