規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
30人以上,調査産業計,597384,3.9,89.6,93,1.39,0.04
30人以上,"鉱業,採石業,砂利採取業",1220660,-11.1,93.8,89.7,1.8,-1.48
30人以上,建設業,590754,13.2,75.7,92,1.27,0.13
30人以上,製造業,772768,14.1,89.9,95.6,1.44,0.02
30人以上,電気・ガス・熱供給・水道業,1025268,-2.3,87.6,68,2.65,0.09
30人以上,情報通信業,796718,5.7,86.6,88.3,1.74,0.17
30人以上,運輸業，郵便業,498409,-7.7,94.6,97.2,1.39,-0.04
30人以上,卸売業，小売業,517914,-1.4,91.3,93.3,1.27,0.04
30人以上,"金融業,保険業",1028196,11.8,94.7,99.3,2.04,0.29
30人以上,不動産業，物品賃貸業,588259,9.2,89,94.7,1.51,0.04
30人以上,学術研究，専門・技術サービス業,625813,-3.7,82.6,96,1.6,0.02
30人以上,宿泊業，飲食サービス業,159268,-3.3,84.9,90.2,0.51,-0.03
30人以上,生活関連サービス業，娯楽業,331754,-6.5,82.1,88.8,1.01,-0.05
30人以上,教育，学習支援業,742531,4,99.8,99.2,1.9,0.05
30人以上,医療，福祉,462203,1.8,100,100,1.33,0.03
30人以上,複合サービス事業,469679,9.3,100,100,1.59,0.12
30人以上,サービス業（他に分類されないもの）,301435,2.3,82.2,82.7,1.19,-0.01
30～99人,調査産業計,394095,1.4,88.2,91.3,1.33,0.05
30～99人,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,建設業,478021,3.2,71.4,81.8,1.15,0.06
30～99人,製造業,433471,2.2,86.8,89.2,1.21,0.05
30～99人,電気・ガス・熱供給・水道業,806952,-0.3,80.3,58.5,2.27,0.01
30～99人,情報通信業,551555,5.6,84,90.3,1.73,0.19
30～99人,運輸業，郵便業,487279,-0.1,93.8,96,1.44,-0.01
30～99人,卸売業，小売業,360803,6.8,89.7,90.2,1.22,0.07
30～99人,"金融業,保険業",572534,5.8,93.7,96.2,1.94,0.3
30～99人,不動産業，物品賃貸業,364626,1.7,85.8,90.8,1.35,-0.03
30～99人,学術研究，専門・技術サービス業,287350,-21.5,80.9,94.3,1.47,-0.07
30～99人,宿泊業，飲食サービス業,136507,2.2,84.7,90.5,0.49,0.02
30～99人,生活関連サービス業，娯楽業,195078,-0.2,80,84.5,0.98,-0.05
30～99人,教育，学習支援業,700011,1.2,100,100,1.84,0.06
30～99人,医療，福祉,300385,0.5,100,100,1.29,0.04
30～99人,複合サービス事業,424337,8.5,100,100,1.59,0.12
30～99人,サービス業（他に分類されないもの）,319849,-0.5,81.3,83.9,1.29,-0.02
100～499人,調査産業計,507244,2.8,93.6,95.6,1.46,0
100～499人,"鉱業,採石業,砂利採取業",1217538,5.8,75,64.6,2.51,0.03
100～499人,建設業,534728,22.9,89.9,96.5,1.58,0.28
100～499人,製造業,673347,39.6,96,94.7,1.74,-0.13
100～499人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,情報通信業,594167,0.5,91.3,97.3,1.63,0.09
100～499人,運輸業，郵便業,432544,-13.8,97,98.4,1.17,-0.17
100～499人,卸売業，小売業,444032,-1.4,96.2,96,1.38,-0.03
100～499人,"金融業,保険業",975664,4,96.6,99.9,2.2,0.16
100～499人,不動産業，物品賃貸業,583208,16,95.1,96.4,1.75,0.18
100～499人,学術研究，専門・技術サービス業,605640,-8.9,84,95.5,1.7,0.14
100～499人,宿泊業，飲食サービス業,197042,-6.7,89.1,96.3,0.73,-0.09
100～499人,生活関連サービス業，娯楽業,278895,-17.2,89.9,93.1,0.97,-0.11
100～499人,教育，学習支援業,838136,5.7,100,100,2.42,0.03
100～499人,医療，福祉,416894,-0.7,100,100,1.36,0.02
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,252237,5,84.9,87.4,0.95,0.06
500人以上,調査産業計,945344,3.1,93.2,91.9,2.13,0.15
500人以上,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,建設業,836403,3.7,100,100,1.72,0.08
500人以上,製造業,939513,-3.4,98.4,98.5,2.39,0.07
500人以上,電気・ガス・熱供給・水道業,1067359,-1.1,50,62.3,2.15,0.02
500人以上,情報通信業,1095012,4,92.1,81.2,2.11,0.16
500人以上,運輸業，郵便業,742346,-1.7,94.4,96.1,1.98,0.07
500人以上,卸売業，小売業,887644,-3.6,94.8,94,1.88,-0.04
500人以上,"金融業,保険業",1220963,14.3,100,100,2.55,0.3
500人以上,不動産業，物品賃貸業,1085510,3,92,97.3,2.35,0.14
500人以上,学術研究，専門・技術サービス業,1271952,20.9,100,100,2.71,0.46
500人以上,宿泊業，飲食サービス業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,生活関連サービス業，娯楽業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,教育，学習支援業,724769,5.6,96,97.7,2.15,-0.02
500人以上,医療，福祉,734575,0.4,100,100,1.97,0.03
500人以上,複合サービス事業,731426,12.5,100,100,2.15,0.25
500人以上,サービス業（他に分類されないもの）,498792,-1.7,74.4,62.4,1.68,-0.09
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年冬季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
