規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.2,151.4,136.6,14.8,13.7,87.6,82.9,4.7
100～499人,18.8,157.6,142.4,15.2,14.2,89.4,85.3,4.1
100人以上,18.5,154.6,139.6,15,14,88.7,84.4,4.3
30～99人,19.4,165.5,150.6,14.9,15.3,86.8,84.4,2.4
５～29人,20.3,167.3,155.9,11.4,13.4,80.5,78.1,2.4
30人以上,18.8,158.1,143.1,15,14.6,87.8,84.4,3.4
５人以上,19.1,160.4,146.3,14.1,14,84.4,81.4,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年９月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
