規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,468069,547322,319592,455571,533300,309947,418165,37406,12498,14022,9645
100～499人,366537,433692,253028,353080,417155,244776,325909,27171,13457,16537,8252
100人以上,413701,487524,282860,400689,472178,273984,368764,31925,13012,15346,8876
30～99人,314057,377137,222737,295093,351207,213859,274523,20570,18964,25930,8878
５～29人,253268,319042,175676,249143,313405,173335,237106,12037,4125,5637,2341
30人以上,379821,451893,260705,364785,433131,251828,336721,28064,15036,18762,8877
５人以上,341629,415628,231395,329886,400449,224771,306658,23228,11743,15179,6624
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１０月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
