事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,平成18,2006,年平均,19.9,165.1,151.3,13.8,14.7,90.2,86.8,3.4
５人以上,TL 調査産業計,平成19,2007,年平均,20,165.8,151.8,14,14.6,89.7,86.5,3.2
５人以上,TL 調査産業計,平成20,2008,年平均,19.8,164.6,150.8,13.8,14.5,88.7,85.3,3.4
５人以上,TL 調査産業計,平成21,2009,年平均,19.6,162.2,148.8,13.4,13.8,83.2,80.3,2.9
５人以上,TL 調査産業計,平成22,2010,年平均,19.7,163.4,149.6,13.8,14.2,86.6,83.8,2.8
５人以上,TL 調査産業計,平成23,2011,年平均,19.6,163,149.4,13.6,14.1,85.6,83,2.6
５人以上,TL 調査産業計,平成24,2012,年平均,19.9,166.3,151.7,14.6,14.5,87.2,84.4,2.8
５人以上,TL 調査産業計,平成25,2013,年平均,19.7,164.7,149.9,14.8,14.1,84.9,81.9,3
５人以上,TL 調査産業計,平成25,2013,1月,18,150.9,137,13.9,13.6,81.5,78.4,3.1
５人以上,TL 調査産業計,平成25,2013,2月,19.2,161.6,146.9,14.7,13.8,83,80.2,2.8
５人以上,TL 調査産業計,平成25,2013,3月,19.3,162.7,147.5,15.2,13.9,83.6,80.6,3
５人以上,TL 調査産業計,平成25,2013,4月,20.4,171.6,155.9,15.7,14.4,86.3,83.2,3.1
５人以上,TL 調査産業計,平成25,2013,5月,19.7,165.3,150.5,14.8,14.2,85.4,82.4,3
５人以上,TL 調査産業計,平成25,2013,6月,20.2,168.7,154.1,14.6,14.4,85.9,82.9,3
５人以上,TL 調査産業計,平成25,2013,7月,20.4,171.3,156.3,15,14.4,86.8,83.7,3.1
５人以上,TL 調査産業計,平成25,2013,8月,19.6,163.7,149.4,14.3,14.2,85.5,82.6,2.9
５人以上,TL 調査産業計,平成25,2013,9月,19.1,160.4,146.3,14.1,14,84.4,81.4,3
５人以上,TL 調査産業計,平成25,2013,10月,20.1,168,153,15,14.3,85.1,82.3,2.8
５人以上,TL 調査産業計,平成25,2013,11月,20.3,169.8,154.1,15.7,14.4,86,83,3
５人以上,TL 調査産業計,平成25,2013,12月,19.4,162.9,147.8,15.1,14.1,85,81.7,3.3
５人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,19.6,150.5,146.7,3.8,3.1,17.9,17.9,0
５人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,19.8,159.8,144.5,15.3,13.7,64.4,64.3,0.1
５人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,19.6,158.5,144.2,14.3,13.5,60.6,60,0.6
５人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,18.8,148.9,136.3,12.6,10.6,60.9,56.2,4.7
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,19,151.3,138.2,13.1,12.6,81.8,80,1.8
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,19,150.5,139.2,11.3,10.8,70.6,70.5,0.1
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,19.6,160.5,143.3,17.2,16,105.1,100.5,4.6
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,年平均,19.2,157.1,139.9,17.2,16.6,115.4,109.7,5.7
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,1月,17.8,150,130.7,19.3,15.3,102.1,97.9,4.2
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,2月,18.5,152.8,137,15.8,15.2,99.1,95.8,3.3
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,3月,18.7,155.6,136.7,18.9,18.3,123.9,118.1,5.8
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,4月,20.3,160.8,150.7,10.1,17.5,119.7,113.2,6.5
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,5月,19.6,160.1,141.8,18.3,17.6,123.6,116.5,7.1
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,6月,19.6,155.8,140.4,15.4,15.9,109.3,104.1,5.2
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,7月,20.9,173.2,151.9,21.3,18.2,126.3,118.7,7.6
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,8月,19.3,156.3,141.2,15.1,16.7,115.3,110.4,4.9
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,9月,18.1,147.4,132.8,14.6,16.2,112.2,107.6,4.6
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,10月,21,173.5,152.2,21.3,15.7,115.2,109.5,5.7
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,11月,19.6,160.3,140,20.3,15.6,112.2,106,6.2
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,12月,18.1,150.2,131.6,18.6,16.3,113.6,108.9,4.7
５人以上,D 建設業,平成18,2006,年平均,21.1,174.5,160.7,13.8,16.9,119.9,115.9,4
５人以上,D 建設業,平成19,2007,年平均,20.9,174.3,159.5,14.8,16.3,117,113.6,3.4
５人以上,D 建設業,平成20,2008,年平均,20.7,174.2,158.3,15.9,16.1,111.9,108.3,3.6
５人以上,D 建設業,平成21,2009,年平均,20.3,171,155.4,15.6,16.9,110.9,108.7,2.2
５人以上,D 建設業,平成22,2010,年平均,20.3,170.7,156,14.7,16.9,109.2,106.4,2.8
５人以上,D 建設業,平成23,2011,年平均,20.3,171.4,155.3,16.1,15.7,104.8,103.5,1.3
５人以上,D 建設業,平成24,2012,年平均,20.9,178.7,157.8,20.9,14.2,99.2,97.9,1.3
５人以上,D 建設業,平成25,2013,年平均,20.7,176.7,156.4,20.3,15.6,118,116.8,1.2
５人以上,D 建設業,平成25,2013,1月,18.5,158.9,139,19.9,12,88.1,84.3,3.8
５人以上,D 建設業,平成25,2013,2月,20.9,178.9,155.7,23.2,15.8,109.9,109,0.9
５人以上,D 建設業,平成25,2013,3月,20.6,176.7,154.3,22.4,14.3,99.9,99.1,0.8
５人以上,D 建設業,平成25,2013,4月,21.3,181.3,161.3,20,14.6,99.5,98.5,1
５人以上,D 建設業,平成25,2013,5月,20.2,172,154.4,17.6,14.6,103.2,102.3,0.9
５人以上,D 建設業,平成25,2013,6月,21,181.3,161.4,19.9,15.8,110,109,1
５人以上,D 建設業,平成25,2013,7月,21.5,182.9,162.4,20.5,18.2,139.7,138.5,1.2
５人以上,D 建設業,平成25,2013,8月,20.5,173.9,155.3,18.6,17.4,133.3,132.1,1.2
５人以上,D 建設業,平成25,2013,9月,20.4,174.2,153.7,20.5,15.4,122.1,120.9,1.2
５人以上,D 建設業,平成25,2013,10月,20.9,177.7,157.4,20.3,16.4,123.2,122.1,1.1
５人以上,D 建設業,平成25,2013,11月,21.9,185.3,164.2,21.1,15.7,129.9,128.9,1
５人以上,D 建設業,平成25,2013,12月,21,178.2,158.4,19.8,15.1,127.2,126,1.2
５人以上,E 製造業,平成18,2006,年平均,19.8,166.9,152.8,14.1,18.1,132.2,125.8,6.4
