規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,468141,551009,313643,454716,534250,306433,415134,39582,13425,16759,7210
100～499人,378041,446402,262994,356665,422192,246387,326935,29730,21376,24210,16607
100人以上,419892,495953,285698,402209,475273,273303,367903,34306,17683,20680,12395
30～99人,322605,384821,230718,298567,353668,217189,276244,22323,24038,31153,13529
５～29人,258340,325930,178647,249291,313371,173737,236726,12565,9049,12559,4910
30人以上,386823,459856,265633,366980,435774,252824,336747,30233,19843,24082,12809
５人以上,348027,423323,235577,331443,402384,225498,306545,24898,16584,20939,10079
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
