産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.76,1.74,1.49,1.5
"鉱業,採石業,砂利採取業",1.53,1.58,1.53,1.58
建設業,0.96,1.42,0.56,1.3
製造業,0.6,0.95,0.57,0.98
電気・ガス・熱供給・水道業,0.32,0.72,0.37,0.85
情報通信業,0.95,0.89,1.03,0.82
"運輸業,郵便業",1.31,1.73,1.38,2
"卸売業,小売業",1.44,1.75,0.85,1.35
"金融業,保険業",0.97,1.17,0.88,1
"不動産業,物品賃貸業",0.91,1.33,0.97,1.06
"学術研究,専門・技術サービス業",2.46,1.46,2.59,1.59
"宿泊業,飲食サービス業",4.33,3.62,3.19,2.98
"生活関連サービス業,娯楽業",1.88,2.28,0.69,1.09
"教育,学習支援業",4.6,2.75,5.32,2.63
"医療,福祉",1.6,2.03,1.09,1.82
複合サービス事業,0.95,0.52,0.45,0.55
サービス業（他に分類されないもの）,1.73,1.63,1.96,1.71
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年９月分,,,,
第４表  産業別労働異動率,,,,
