規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.6,18,17,144,149.7,133.2,130.3,134.3,122.9,13.7,15.4,10.3
100～499人,18,18.4,17.3,145.9,154.5,130.8,132.6,138.5,122.3,13.3,16,8.5
100人以上,17.8,18.2,17.1,144.9,152.3,131.8,131.5,136.5,122.5,13.4,15.8,9.3
30～99人,18.5,19.1,17.6,147.2,160.3,127.9,135.2,144.8,121,12,15.5,6.9
５～29人,17.7,18.9,16.4,135.5,152,115.7,127.4,141.1,111,8.1,10.9,4.7
30人以上,18,18.5,17.3,145.8,154.9,130.4,132.8,139.2,122,13,15.7,8.4
５人以上,18,18.6,17,142.7,154.1,125.3,131.2,139.7,118.2,11.5,14.4,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
