規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.9,165.4,149.2,16.2,14.6,91.8,86.9,4.9
100～499人,19.9,166.9,150.7,16.2,14.6,90.5,86.6,3.9
100人以上,19.9,166.2,150,16.2,14.6,91,86.7,4.3
30～99人,20.2,171.6,155.8,15.8,15.4,86.9,84.5,2.4
５～29人,20.4,168.3,156.7,11.6,13.5,80.5,78.4,2.1
30人以上,20,167.9,151.8,16.1,15,89.1,85.7,3.4
５人以上,20.1,168,153,15,14.3,85.1,82.3,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１０月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
