規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.3,17.6,16.9,140.5,145.4,131.4,127,130.3,120.9,13.5,15.1,10.5
100～499人,17.3,17.7,16.6,140.9,149.7,125.4,127.5,133.6,116.9,13.4,16.1,8.5
100人以上,17.3,17.6,16.7,140.6,147.7,128.2,127.2,132,118.8,13.4,15.7,9.4
30～99人,17.1,17.7,16.3,136.3,148.5,118.5,124.3,132.7,112,12,15.8,6.5
５～29人,16.3,17.2,15.1,124.3,138.7,107.1,116.6,128.6,102.3,7.7,10.1,4.8
30人以上,17.2,17.7,16.6,139.2,147.9,124.7,126.2,132.2,116.3,13,15.7,8.4
５人以上,16.9,17.5,16.1,134.7,145.4,118.5,123.3,131.2,111.4,11.4,14.2,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
