規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.3,18.6,17.5,149.6,156.1,137.5,134.7,139.5,126,14.9,16.6,11.5
100～499人,18.2,18.7,17.4,149.7,159.4,132.4,135.1,142,122.9,14.6,17.4,9.5
100人以上,18.2,18.7,17.5,149.6,157.9,134.7,134.9,140.8,124.3,14.7,17.1,10.4
30～99人,18.1,18.9,17.1,144.8,158.9,124.3,132.2,142.4,117.3,12.6,16.5,7
５～29人,17.6,18.8,16.2,135.6,152.4,115.3,127,141,110.2,8.6,11.4,5.1
30人以上,18.2,18.8,17.3,148,158.2,130.9,134,141.3,121.7,14,16.9,9.2
５人以上,18,18.8,16.9,144.2,156.6,125.5,131.9,141.2,117.7,12.3,15.4,7.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
