規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,705481,489100,448089,41011,216381,140925,134574,127096,7478,6351
100～499人,522894,400244,368885,31359,122650,125019,118407,112067,6340,6612
100人以上,610622,442937,406941,35996,167685,130957,124443,117678,6765,6514
30～99人,494224,354010,327591,26419,140214,110565,106134,102084,4050,4431
５～29人,471538,343504,325432,18072,128034,96529,92881,90146,2735,3648
30人以上,573893,414876,381902,32974,159017,121863,116278,110724,5554,5585
５人以上,548378,397085,367826,29259,151293,109931,105258,101032,4226,4673
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年７月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
