規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.2,161.6,146.9,14.7,13.8,83,80.2,2.8
５人以上,"鉱業,採石業,砂利採取業",18.5,152.8,137,15.8,15.2,99.1,95.8,3.3
５人以上,建設業,20.9,178.9,155.7,23.2,15.8,109.9,109,0.9
５人以上,製造業,19.1,160.7,146.7,14,16.8,119.6,112.7,6.9
５人以上,電気・ガス・熱供給・水道業,18.4,161.1,139.4,21.7,16.8,127.9,126.4,1.5
５人以上,情報通信業,18.3,161.9,141.7,20.2,12.9,88.3,84.3,4
５人以上,"運輸業,郵便業",19.1,171.6,153.1,18.5,17.8,108.5,99.5,9
５人以上,"卸売業,小売業",19.7,160.9,150.9,10,15.3,90.9,89,1.9
５人以上,"金融業,保険業",17.9,148.5,132,16.5,15.1,99.4,95.1,4.3
５人以上,"不動産業,物品賃貸業",19.3,157.3,146.8,10.5,15.7,88.4,84,4.4
５人以上,"学術研究,専門・技術サービス業",19.8,167.6,146.9,20.7,14.9,102.1,97.8,4.3
５人以上,"宿泊業,飲食サービス業",20.6,180,166,14,13,77,74.5,2.5
５人以上,"生活関連サービス業,娯楽業",20.2,166.2,157.6,8.6,14.3,91.5,89.1,2.4
５人以上,"教育,学習支援業",18.8,140.8,135.2,5.6,8.5,43.5,42.5,1
５人以上,"医療,福祉",18.9,151.8,144.2,7.6,11.8,68.5,66.7,1.8
５人以上,複合サービス事業,18.1,148.8,137.2,11.6,13.8,76.9,75.8,1.1
５人以上,サービス業（他に分類されないもの）,19.1,161.1,145,16.1,15,87.7,84.1,3.6
30人以上,調査産業計,18.8,158.9,143.2,15.7,14.3,86.6,83.3,3.3
30人以上,"鉱業,採石業,砂利採取業",18.5,152.8,137,15.8,15.2,99.1,95.8,3.3
30人以上,建設業,20.8,181.4,153.7,27.7,16.1,117.8,116.5,1.3
30人以上,製造業,18.6,158.2,143.3,14.9,17.3,127,116.6,10.4
30人以上,電気・ガス・熱供給・水道業,18.2,159.4,137.7,21.7,16.4,124.2,123.2,1
30人以上,情報通信業,18,161.4,140.3,21.1,12.8,92.7,87,5.7
30人以上,"運輸業,郵便業",18.8,170.8,151.9,18.9,17.4,110.1,100.2,9.9
30人以上,"卸売業,小売業",19.4,158,148,10,16.6,98.3,96.3,2
30人以上,"金融業,保険業",17.7,146.9,129.8,17.1,15.2,100.1,95.7,4.4
30人以上,"不動産業,物品賃貸業",18.6,154.6,140.9,13.7,16.8,94.3,90.9,3.4
30人以上,"学術研究,専門・技術サービス業",19.6,167.1,145.1,22,13.2,90.7,88.6,2.1
30人以上,"宿泊業,飲食サービス業",19.7,167,152.4,14.6,14,80.8,77.8,3
30人以上,"生活関連サービス業,娯楽業",19,153.3,143.1,10.2,14.1,93.2,90.9,2.3
30人以上,"教育,学習支援業",18.6,138.2,132.8,5.4,7.5,41.4,40.5,0.9
30人以上,"医療,福祉",18.6,149.6,141.6,8,11.2,70.3,68.3,2
30人以上,複合サービス事業,17.9,154.3,135.5,18.8,15.7,72.6,72,0.6
30人以上,サービス業（他に分類されないもの）,18.9,159.4,142.3,17.1,15,86.9,83.1,3.8
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年２月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
