事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成18,2006,年平均,18.9,19.8,17.6,145.6,160,125.4,137.5,149.3,121,8.1,10.7,4.4
５～29人,平成19,2007,年平均,18.4,19.5,17,141.1,156.6,120.4,133.8,146.7,116.6,7.3,9.9,3.8
５～29人,平成20,2008,年平均,18.3,19.4,16.9,138.7,155.5,118.2,131.1,145.3,113.8,7.6,10.2,4.4
５～29人,平成21,2009,年平均,18.1,19.1,16.7,137,153.8,116.5,129.4,143.7,112,7.6,10.1,4.5
５～29人,平成22,2010,年平均,18.3,19.4,16.9,139.9,156,119.1,132.3,146,114.6,7.6,10,4.5
５～29人,平成23,2011,年平均,18.1,19.2,16.7,138.4,154.4,118,131,144.4,113.9,7.4,10,4.1
５～29人,平成24,2012,年平均,18.1,19.3,16.8,138.9,155.5,119,131,144.8,114.4,7.9,10.7,4.6
５～29人,平成25,2013,年平均,17.9,19,16.5,136.8,153.4,117,128.6,142.4,112.1,8.2,11,4.9
５～29人,平成25,2013,1月,16.3,17.2,15.1,124.3,138.7,107.1,116.6,128.6,102.3,7.7,10.1,4.8
５～29人,平成25,2013,2月,17.9,19,16.5,137.1,153.7,117.3,128.9,142.7,112.4,8.2,11,4.9
５～29人,平成25,2013,3月,17.6,18.8,16.2,135.6,152.4,115.3,127,141,110.2,8.6,11.4,5.1
５～29人,平成25,2013,4月,18.5,19.7,17,141.5,158.8,120.9,133.1,147.6,115.8,8.4,11.2,5.1
５～29人,平成25,2013,5月,17.8,18.8,16.6,136.4,151.6,118.2,128.4,140.8,113.5,8,10.8,4.7
５～29人,平成25,2013,6月,18.7,19.9,17.2,143.1,160.2,122.3,134.7,149.1,117.3,8.4,11.1,5
５～29人,平成25,2013,7月,18.4,19.5,17,140.2,157.7,119.7,131.8,146.3,114.7,8.4,11.4,5
５～29人,平成25,2013,8月,17.7,18.8,16.5,134.6,150.7,115.4,126.8,140.2,110.8,7.8,10.5,4.6
５～29人,平成25,2013,9月,17.7,18.9,16.4,135.5,152,115.7,127.4,141.1,111,8.1,10.9,4.7
５～29人,平成25,2013,10月,17.9,19.1,16.5,136.2,153,116.2,128,141.9,111.5,8.2,11.1,4.7
５～29人,平成25,2013,11月,18.4,19.7,16.9,139.8,157.8,118.6,131.5,146.5,113.8,8.3,11.3,4.8
５～29人,平成25,2013,12月,17.9,19.1,16.5,136.8,153.8,116.7,128.5,142.7,111.8,8.3,11.1,4.9
30～99人,平成18,2006,年平均,18.6,19.4,17.4,146.9,159.7,127.2,135.2,145.4,119.6,11.7,14.3,7.6
30～99人,平成19,2007,年平均,19.1,19.7,18,151.9,163.3,132.1,139.5,148.1,124.6,12.4,15.2,7.5
