規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.1,18.6,17.4,147.2,153.9,134.9,133,137.8,124.3,14.2,16.1,10.6
100～499人,18.2,18.6,17.4,147.4,157.2,130.6,133,139.9,121.3,14.4,17.3,9.3
100人以上,18.1,18.6,17.4,147.3,155.7,132.5,133,138.9,122.6,14.3,16.8,9.9
30～99人,18.5,19.1,17.5,147.8,161.1,128.3,134.4,143.7,120.8,13.4,17.4,7.5
５～29人,17.9,19.1,16.5,136.8,153.8,116.7,128.5,142.7,111.8,8.3,11.1,4.9
30人以上,18.3,18.8,17.4,147.5,157.5,131,133.5,140.5,122,14,17,9
５人以上,18.2,18.9,17.1,144.2,156.5,126,132,141.1,118.4,12.2,15.4,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
