規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.3,161,145.4,15.6,14.3,89.9,85.3,4.6
100～499人,19.7,165,149.5,15.5,14.7,91.5,87.3,4.2
100人以上,19.5,163.1,147.5,15.6,14.6,91,86.6,4.4
30～99人,20.3,173.2,157.5,15.7,15.5,87.8,85.2,2.6
５～29人,21.3,175.6,164,11.6,13.7,81.4,79.2,2.2
30人以上,19.8,166.3,150.7,15.6,15,89.6,86,3.6
５人以上,20.2,168.7,154.1,14.6,14.4,85.9,82.9,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年６月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
