規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.3,19.7,18.5,156.8,163.6,143.9,142,146.9,132.6,14.8,16.7,11.3
100～499人,19,19.5,18,153.5,164.3,135.2,139.4,147.2,126.3,14.1,17.1,8.9
100人以上,19.1,19.6,18.2,155,164,139.1,140.6,147.1,129.1,14.4,16.9,10
30～99人,19,19.7,18.1,150.9,164.5,131.4,138.4,148.2,124.3,12.5,16.3,7.1
５～29人,17.9,19.1,16.5,136.2,153,116.2,128,141.9,111.5,8.2,11.1,4.7
30人以上,19.1,19.6,18.2,153.7,164.1,136.4,139.9,147.4,127.4,13.8,16.7,9
５人以上,18.7,19.5,17.6,148.4,161.1,129.4,136.3,145.9,121.9,12.1,15.2,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
