規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.1,167.7,151.7,16,14.6,99.5,94.5,5
100～499人,20.1,168.8,152.7,16.1,14.7,91.5,87.4,4.1
100人以上,20.1,168.2,152.2,16,14.7,94.4,90,4.4
30～99人,20.5,174.6,158.7,15.9,15.4,88.3,85.2,3.1
５～29人,21.1,174.4,162.4,12,13.7,81.2,78.9,2.3
30人以上,20.2,170.2,154.2,16,15,91.7,87.9,3.8
５人以上,20.4,171.3,156.3,15,14.4,86.8,83.7,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年７月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
