規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,7158667,4286290,2872377,166333,87367,78966,142625,79149,63476,7182375,4294508,2887867,23.8,13.2,39.6
５人以上,"鉱業,採石業,砂利採取業",599,522,77,15,10,5,20,17,3,594,515,79,6.9,6,12.7
５人以上,建設業,339506,291565,47941,3709,2560,1149,4800,4164,636,338415,289961,48454,3.6,2.5,10.2
５人以上,製造業,697631,521447,176184,8162,6460,1702,8547,6282,2265,697246,521625,175621,6.6,2.6,18.7
５人以上,電気・ガス・熱供給・水道業,22677,19639,3038,276,268,8,568,420,148,22385,19487,2898,5.1,4.4,10.4
５人以上,情報通信業,742328,562525,179803,8419,5810,2609,9043,5402,3641,741704,562933,178771,3,1.6,7.5
５人以上,"運輸業,郵便業",446767,364806,81961,8682,6421,2261,8650,6417,2233,446799,364810,81989,16.7,12.3,36.4
５人以上,"卸売業,小売業",1424221,779791,644430,26355,13597,12758,29969,17555,12414,1420607,775833,644774,31,15.9,49.3
５人以上,"金融業,保険業",385355,200748,184607,13487,6420,7067,14392,7847,6545,384450,199321,185129,9.6,0.9,19.1
５人以上,"不動産業,物品賃貸業",194035,129524,64511,3505,2107,1398,3137,1925,1212,194403,129706,64697,18.7,14.1,27.7
５人以上,"学術研究,専門・技術サービス業",351546,245985,105561,9292,5906,3386,8190,5608,2582,352648,246283,106365,4.5,1.5,11.3
５人以上,"宿泊業,飲食サービス業",614066,275305,338761,28574,13818,14756,20496,8325,12171,622144,280798,341346,69.1,56.8,79.2
５人以上,"生活関連サービス業,娯楽業",217257,101096,116161,7295,3216,4079,6025,2361,3664,218527,101951,116576,34.6,27.2,41
５人以上,"教育,学習支援業",401606,215770,185836,15885,9324,6561,5481,3343,2138,412010,221751,190259,31.2,25.2,38.3
５人以上,"医療,福祉",550973,155641,395332,11550,3544,8006,9071,2592,6479,553452,156593,396859,32.9,25,36
５人以上,複合サービス事業,20230,9885,10345,357,167,190,394,214,180,20193,9838,10355,26.2,11.3,40.2
５人以上,サービス業（他に分類されないもの）,749870,412041,337829,20770,7739,13031,13842,6677,7165,756798,413103,343695,26.6,14.6,41.1
30人以上,調査産業計,4997379,3116228,1881151,105487,58672,46815,87077,52644,34433,5015789,3122256,1893533,18.2,9.5,32.5
30人以上,"鉱業,採石業,砂利採取業",599,522,77,15,10,5,20,17,3,594,515,79,6.9,6,12.7
30人以上,建設業,210988,182786,28202,1643,1270,373,2822,2629,193,209809,181427,28382,1.9,1.1,7.5
30人以上,製造業,539839,411303,128536,6347,4975,1372,7130,5123,2007,539056,411155,127901,5.1,2.1,14.6
30人以上,電気・ガス・熱供給・水道業,19417,17033,2384,276,268,8,306,289,17,19387,17012,2375,5.9,5,12.7
30人以上,情報通信業,631839,485435,146404,7517,5510,2007,7539,5012,2527,631817,485933,145884,2.3,1,6.8
30人以上,"運輸業,郵便業",365442,299183,66259,7270,5280,1990,7330,5934,1396,365382,298529,66853,16.6,12.9,33.4
30人以上,"卸売業,小売業",860266,491897,368369,10694,6691,4003,12704,7791,4913,858256,490797,367459,24.5,10.9,42.6
30人以上,"金融業,保険業",322404,169918,152486,11806,5886,5920,12331,6867,5464,321879,168937,152942,9.9,0.8,19.8
30人以上,"不動産業,物品賃貸業",128193,83965,44228,2179,1247,932,2396,1499,897,127976,83713,44263,21.1,15.6,31.5
30人以上,"学術研究,専門・技術サービス業",249558,185483,64075,7389,4696,2693,6823,4844,1979,250124,185335,64789,2.2,1,5.7
30人以上,"宿泊業,飲食サービス業",238302,104175,134127,10951,5420,5531,6043,2928,3115,243210,106667,136543,51.7,36.4,63.6
30人以上,"生活関連サービス業,娯楽業",117300,58873,58427,2640,1275,1365,1908,735,1173,118032,59413,58619,34.8,21.8,47.9
30人以上,"教育,学習支援業",316801,182137,134664,12977,7786,5191,4369,2651,1718,325409,187272,138137,27.6,23.4,33.3
30人以上,"医療,福祉",379180,119582,259598,5736,1855,3881,4514,1565,2949,380402,119872,260530,25.1,22.3,26.4
30人以上,複合サービス事業,7097,4615,2482,204,167,37,300,214,86,7001,4568,2433,28.8,15.1,54.3
30人以上,サービス業（他に分類されないもの）,610154,319321,290833,17843,6336,11507,10542,4546,5996,617455,321111,296344,28.4,15.5,42.4
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１０月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
