産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.36,1.97,2.21,1.69
"鉱業,採石業,砂利採取業",0.81,0.49,0.81,0.49
建設業,1.39,1.77,1.35,2.01
製造業,1.07,1.4,1.06,1.58
電気・ガス・熱供給・水道業,0.95,0.87,0.73,0.79
情報通信業,0.93,1.21,0.85,1.19
"運輸業,郵便業",1.86,1.34,1.63,1.28
"卸売業,小売業",1.73,1.79,1.4,1.29
"金融業,保険業",1.9,1.75,1.69,1.73
"不動産業,物品賃貸業",1.34,1.53,1.64,1.52
"学術研究,専門・技術サービス業",2.99,1.57,3.34,1.44
"宿泊業,飲食サービス業",4.66,4.29,3.32,2.63
"生活関連サービス業,娯楽業",3.59,3.18,2.44,2.63
"教育,学習支援業",4.84,2.05,5.4,1.63
"医療,福祉",2.64,2.03,2.51,1.8
複合サービス事業,0.64,0.87,1.12,0.88
サービス業（他に分類されないもの）,3.55,2.24,4.31,2.59
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年５月分,,,,
第４表  産業別労働異動率,,,,
