産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.32,1.99,2.11,1.74
"鉱業,採石業,砂利採取業",2.5,3.34,2.5,3.34
建設業,1.09,1.41,0.78,1.34
製造業,1.17,1.23,1.18,1.32
電気・ガス・熱供給・水道業,1.22,2.5,1.42,1.58
情報通信業,1.13,1.22,1.19,1.19
"運輸業,郵便業",1.94,1.94,1.99,2.01
"卸売業,小売業",1.85,2.1,1.24,1.48
"金融業,保険業",3.5,3.73,3.66,3.82
"不動産業,物品賃貸業",1.81,1.62,1.7,1.87
"学術研究,専門・技術サービス業",2.64,2.33,2.96,2.73
"宿泊業,飲食サービス業",4.65,3.34,4.6,2.54
"生活関連サービス業,娯楽業",3.36,2.77,2.25,1.63
"教育,学習支援業",3.96,1.36,4.1,1.38
"医療,福祉",2.1,1.65,1.51,1.19
複合サービス事業,1.76,1.95,2.87,4.23
サービス業（他に分類されないもの）,2.77,1.85,2.92,1.73
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１０月分,,,,
第４表  産業別労働異動率,,,,
