規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.3,153.2,137.5,15.7,13.8,87.5,83.3,4.2
100～499人,18.7,157.8,142,15.8,13.9,87.1,83.2,3.9
100人以上,18.5,155.5,139.8,15.7,13.9,87.3,83.3,4
30～99人,19.5,166.5,150.8,15.7,14.9,86.1,83.5,2.6
５～29人,20.4,169,157.5,11.5,13.3,78.6,76.4,2.2
30人以上,18.8,158.9,143.2,15.7,14.3,86.6,83.3,3.3
５人以上,19.2,161.6,146.9,14.7,13.8,83,80.2,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
