産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.48,1.68,1.33,1.5
"鉱業,採石業,砂利採取業",2.2,1.76,2.2,1.76
建設業,1.27,0.67,0.89,0.53
製造業,0.89,1.53,0.86,1.41
電気・ガス・熱供給・水道業,1.9,1.14,2.08,1.12
情報通信業,1.2,0.99,1.27,0.86
"運輸業,郵便業",1.06,1.25,1,1.16
"卸売業,小売業",1.07,1.58,0.85,1.37
"金融業,保険業",1.12,1.33,1.27,1.42
"不動産業,物品賃貸業",0.78,0.99,0.93,1.37
"学術研究,専門・技術サービス業",1.42,1.29,1.86,1.46
"宿泊業,飲食サービス業",2.96,3.38,1.68,2.26
"生活関連サービス業,娯楽業",2.62,2.56,1.42,1.27
"教育,学習支援業",2.3,2.26,2.23,2.28
"医療,福祉",1.45,1.43,1.3,1.22
複合サービス事業,0.7,0.82,1.15,1.51
サービス業（他に分類されないもの）,1.89,2.28,2.17,2.63
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１月分,,,,
第４表  産業別労働異動率,,,,
