規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18,18.8,16.9,144.2,156.6,125.5,131.9,141.2,117.7,12.3,15.4,7.8
５人以上,"鉱業,採石業,砂利採取業",18.7,18.8,18.4,155.3,158.3,144.3,136.5,138.2,130.4,18.8,20.1,13.9
５人以上,建設業,20.4,20.7,18.5,174.8,178.8,152.1,152.9,155.1,140.5,21.9,23.7,11.6
５人以上,製造業,18.7,18.9,17.9,156.4,160.4,144.6,142.2,145.1,133.7,14.2,15.3,10.9
５人以上,電気・ガス・熱供給・水道業,18.9,18.9,18.5,163.5,165.1,153.3,143.3,144.2,137.8,20.2,20.9,15.5
５人以上,情報通信業,18.9,19.2,18,164.8,168.5,152.9,144.2,146.8,136,20.6,21.7,16.9
５人以上,"運輸業,郵便業",18.7,19,17.7,160.2,166.9,130,143.5,148.6,120.7,16.7,18.3,9.3
５人以上,"卸売業,小売業",18.2,18.8,17.3,139,151.6,123.6,130.9,141.1,118.4,8.1,10.5,5.2
５人以上,"金融業,保険業",18.3,18.9,17.7,150.3,158.4,140.7,133.7,140,126.3,16.6,18.4,14.4
５人以上,"不動産業,物品賃貸業",18.9,19.3,18.3,146.2,152.7,133.8,136.4,141.9,125.9,9.8,10.8,7.9
５人以上,"学術研究,専門・技術サービス業",19.3,19.6,18.6,166.6,170.7,156,145.7,148.4,138.7,20.9,22.3,17.3
５人以上,"宿泊業,飲食サービス業",15.8,17.2,14.6,112.4,136.6,92,105.8,126.8,88.2,6.6,9.8,3.8
５人以上,"生活関連サービス業,娯楽業",18.2,18.7,17.7,143.4,149.4,137.8,137,141.9,132.4,6.4,7.5,5.4
５人以上,"教育,学習支援業",15.2,15.4,14.9,110.3,113.7,106.3,106.4,110.1,102.2,3.9,3.6,4.1
５人以上,"医療,福祉",16.7,16.9,16.7,124.9,132.9,121.9,119.1,125.1,116.8,5.8,7.8,5.1
５人以上,複合サービス事業,17.9,18.7,17,137.4,150.1,124.6,127.4,137.5,117.2,10,12.6,7.4
５人以上,サービス業（他に分類されないもの）,18.1,19,16.9,142.4,157.3,123.6,128.9,139.8,115.1,13.5,17.5,8.5
30人以上,調査産業計,18.2,18.8,17.3,148,158.2,130.9,134,141.3,121.7,14,16.9,9.2
30人以上,"鉱業,採石業,砂利採取業",18.7,18.8,18.4,155.3,158.3,144.3,136.5,138.2,130.4,18.8,20.1,13.9
30人以上,建設業,20.3,20.5,18.5,177.6,179.9,161.9,150.6,151.6,143.9,27,28.3,18
30人以上,製造業,18.5,18.7,17.9,156.4,159.6,146,141.3,143.6,133.9,15.1,16,12.1
30人以上,電気・ガス・熱供給・水道業,18.8,18.8,18.7,162.9,164,155.6,142.8,143.3,139.2,20.1,20.7,16.4
30人以上,情報通信業,19,19.3,18,167,170.7,155.3,145.1,147.7,136.9,21.9,23,18.4
30人以上,"運輸業,郵便業",18.5,18.6,17.7,159.7,165.5,132.1,142.9,147.3,122.2,16.8,18.2,9.9
30人以上,"卸売業,小売業",18.6,19,17.9,142.6,153.7,127.9,133.9,142.7,122.3,8.7,11,5.6
30人以上,"金融業,保険業",18.3,18.9,17.6,149.7,157.8,140.3,132.5,138.7,125.2,17.2,19.1,15.1
30人以上,"不動産業,物品賃貸業",18.7,19,18.1,146.2,151.9,134.3,133.5,138.2,123.8,12.7,13.7,10.5
30人以上,"学術研究,専門・技術サービス業",19.4,19.6,18.8,170.4,173.5,161.1,147.9,149.9,141.9,22.5,23.6,19.2
30人以上,"宿泊業,飲食サービス業",17.4,18.2,16.7,125.9,145.2,111.8,117,132.5,105.6,8.9,12.7,6.2
30人以上,"生活関連サービス業,娯楽業",17.1,17.6,16.7,135.3,141.7,128.8,128,133.5,122.4,7.3,8.2,6.4
30人以上,"教育,学習支援業",15.3,15.6,14.8,112.1,116.3,106.5,108.4,112.8,102.6,3.7,3.5,3.9
30人以上,"医療,福祉",17,16.9,17.1,131.4,135.2,129.7,124.9,126.8,124,6.5,8.4,5.7
30人以上,複合サービス事業,19,19.5,18.1,145.8,160.7,121.1,129.6,140.8,111,16.2,19.9,10.1
30人以上,サービス業（他に分類されないもの）,17.8,18.8,16.8,139.6,155.7,121.2,125.6,137,112.6,14,18.7,8.6
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年３月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
