規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18,18.7,16.9,143.3,155.4,125,131.4,140.5,117.6,11.9,14.9,7.4
５人以上,"鉱業,採石業,砂利採取業",18.5,18.7,17.4,152.3,155.4,139,136.6,139,126.3,15.7,16.4,12.7
５人以上,建設業,20.8,21.1,18.9,177,181.2,153.8,154.4,156.5,143,22.6,24.7,10.8
５人以上,製造業,18.9,19.1,18.2,157.7,161.8,145.9,144.2,147.1,135.7,13.5,14.7,10.2
５人以上,電気・ガス・熱供給・水道業,18.2,18.3,17.6,158,160,143.4,138.2,139.1,131.6,19.8,20.9,11.8
５人以上,情報通信業,18.1,18.3,17.4,159.7,163.4,148.1,140,142.6,131.9,19.7,20.8,16.2
５人以上,"運輸業,郵便業",18.9,19.1,18,161.5,167.8,133.6,144.5,149.2,123.9,17,18.6,9.7
５人以上,"卸売業,小売業",18.4,19,17.6,140.1,152.2,125.5,132.5,142.4,120.5,7.6,9.8,5
５人以上,"金融業,保険業",17.6,18.2,17,143.9,152,134.6,128.6,134.8,121.4,15.3,17.2,13.2
５人以上,"不動産業,物品賃貸業",18.6,19.1,17.8,144.2,151.4,130.4,134.8,141,123.1,9.4,10.4,7.3
５人以上,"学術研究,専門・技術サービス業",19.6,19.9,18.9,165.2,169.3,154.7,145.1,147.5,139,20.1,21.8,15.7
５人以上,"宿泊業,飲食サービス業",15.4,16.9,14.1,109.7,133,89.1,103.6,123.7,85.8,6.1,9.3,3.3
５人以上,"生活関連サービス業,娯楽業",18.4,18.9,18,144,150.4,137.7,137.2,142.2,132.3,6.8,8.2,5.4
５人以上,"教育,学習支援業",15.5,15.5,15.6,110.4,109.7,111,106.2,106.4,106,4.2,3.3,5
５人以上,"医療,福祉",16.5,16.7,16.5,124,131.5,121.1,118.3,124.1,116.1,5.7,7.4,5
５人以上,複合サービス事業,16.9,17.4,16.4,129,138.8,119.1,120.3,128,112.5,8.7,10.8,6.6
５人以上,サービス業（他に分類されないもの）,18.1,19,16.9,141.9,157.4,122,129.1,140.5,114.3,12.8,16.9,7.7
30人以上,調査産業計,18,18.6,17.1,146,156.2,129,132.5,139.8,120.4,13.5,16.4,8.6
30人以上,"鉱業,採石業,砂利採取業",18.5,18.7,17.4,152.3,155.4,139,136.6,139,126.3,15.7,16.4,12.7
30人以上,建設業,20.7,20.9,19.1,180.3,182.9,163,153,153.8,147.9,27.3,29.1,15.1
30人以上,製造業,18.5,18.8,17.9,156.5,160.1,145.2,141.8,144.4,133.7,14.7,15.7,11.5
30人以上,電気・ガス・熱供給・水道業,18,18,17.6,156,157.8,143.9,136.3,137,131.4,19.7,20.8,12.5
30人以上,情報通信業,17.9,18.2,17.1,159.8,163.8,147,139.1,141.9,130.1,20.7,21.9,16.9
30人以上,"運輸業,郵便業",18.6,18.8,17.8,161.3,166.8,136,143.8,147.8,125.4,17.5,19,10.6
30人以上,"卸売業,小売業",18.7,19.1,18.3,143.6,153.4,130.3,135.5,143.3,124.9,8.1,10.1,5.4
30人以上,"金融業,保険業",17.5,18.1,16.8,142.4,150.5,133.1,126.5,132.7,119.4,15.9,17.8,13.7
30人以上,"不動産業,物品賃貸業",18.3,18.6,17.7,142.4,148.4,130.1,130.8,135.7,120.7,11.6,12.7,9.4
30人以上,"学術研究,専門・技術サービス業",19.5,19.8,18.5,165.7,169.4,154.1,144,146.4,136.6,21.7,23,17.5
30人以上,"宿泊業,飲食サービス業",16.7,17.8,15.8,121.1,140.5,106.1,112.7,128.2,100.7,8.4,12.3,5.4
30人以上,"生活関連サービス業,娯楽業",17.5,18.2,16.8,135.2,144.6,125,127.4,135.4,118.7,7.8,9.2,6.3
30人以上,"教育,学習支援業",15.6,15.7,15.6,112.1,112.4,111.7,107.9,109.2,106.4,4.2,3.2,5.3
30人以上,"医療,福祉",16.7,16.6,16.7,129.2,132.4,127.9,122.8,124.4,122.1,6.4,8,5.8
30人以上,複合サービス事業,17.3,17.8,16.3,130.7,145.9,106.3,117.1,128.7,98.6,13.6,17.2,7.7
30人以上,サービス業（他に分類されないもの）,17.7,18.7,16.7,138.6,155.3,118.9,125.3,137.3,111.2,13.3,18,7.7
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年２月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
