規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1400376,494538,452149,42389,905838,143270,125720,118034,7686,17550
100～499人,961619,398980,364522,34458,562639,133221,119246,111781,7465,13975
100人以上,1172696,444951,406678,38273,727745,136937,121640,114093,7547,15297
30～99人,773871,357213,329514,27699,416658,118643,104493,100730,3763,14150
５～29人,619198,341079,323167,17912,278119,98904,92768,89938,2830,6136
30人以上,1046020,417084,382169,34915,628936,128843,114054,108181,5873,14789
５人以上,939839,398176,367491,30685,541663,114633,103951,99522,4429,10682
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１２月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
