規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.8,165.3,148.8,16.5,14.9,96.4,91.7,4.7
100～499人,20.1,171.3,153.5,17.8,14.9,92.8,88.4,4.4
100人以上,20,168.4,151.2,17.2,14.9,94.1,89.6,4.5
30～99人,20.5,175.2,158.6,16.6,15.2,88.6,85.6,3
５～29人,21.1,174.8,163,11.8,13.6,80.1,77.9,2.2
30人以上,20.2,170.5,153.5,17,15,91.5,87.7,3.8
５人以上,20.4,171.6,155.9,15.7,14.4,86.3,83.2,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年４月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
