規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.8,155.8,140.3,15.5,13.6,85.2,80.4,4.8
100～499人,19,159.5,143.1,16.4,14.4,91.5,86.6,4.9
100人以上,18.9,157.8,141.8,16,14.1,89.1,84.3,4.8
30～99人,19.5,166.5,149.9,16.6,15,86.5,83.6,2.9
５～29人,20.5,169.7,158,11.7,13.6,81.8,79.2,2.6
30人以上,19.1,160.6,144.4,16.2,14.5,88,84,4
５人以上,19.4,162.9,147.8,15.1,14.1,85,81.7,3.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
