規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.8,157.3,141.2,16.1,14,88.4,83.8,4.6
100～499人,19.1,162.4,145.6,16.8,14.3,90.3,86.2,4.1
100人以上,18.9,160,143.5,16.5,14.2,89.6,85.3,4.3
30～99人,19.3,164.6,148.7,15.9,14.6,85.1,82.3,2.8
５～29人,20,166.5,154.5,12,13.2,79,76.7,2.3
30人以上,19.1,161.4,145.1,16.3,14.4,87.5,83.9,3.6
５人以上,19.3,162.7,147.5,15.2,13.9,83.6,80.6,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年３月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
