規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,451823,532999,303267,439587,517739,296564,404991,34596,12236,15260,6703
100～499人,370538,441048,248064,353367,418904,239531,326265,27102,17171,22144,8533
100人以上,408445,484358,273347,393575,465456,265653,362978,30597,14870,18902,7694
30～99人,298433,358498,210630,290311,348430,205354,269227,21084,8122,10068,5276
５～29人,263336,331834,181549,250858,315629,173521,239088,11770,12478,16205,8028
30人以上,371279,443933,250425,358689,427868,243614,331306,27383,12590,16065,6811
５人以上,338585,413149,226641,326029,397046,219410,303375,22654,12556,16103,7231
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
