規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.5,18.1,154.2,161.3,140.8,139,144.1,129.4,15.2,17.2,11.4
100～499人,18.9,19.4,18.2,154.5,164.2,138.3,139.7,146.4,128.6,14.8,17.8,9.7
100人以上,19,19.4,18.1,154.4,162.8,139.4,139.4,145.3,128.9,15,17.5,10.5
30～99人,19.3,20,18.3,154.8,168.5,134.5,140.9,150.6,126.6,13.9,17.9,7.9
５～29人,18.4,19.7,16.9,139.8,157.8,118.6,131.5,146.5,113.8,8.3,11.3,4.8
30人以上,19.1,19.6,18.2,154.5,164.7,137.6,139.9,147,128.1,14.6,17.7,9.5
５人以上,18.9,19.6,17.7,150.1,162.8,131.1,137.4,146.9,123.2,12.7,15.9,7.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
