規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,467639,549047,312518,451328,527450,306279,413588,37740,16311,21597,6239
100～499人,360742,425715,248203,350270,412347,242748,323021,27249,10472,13368,5455
100人以上,410388,484033,277090,397204,466774,271283,365083,32121,13184,17259,5807
30～99人,308667,366799,220425,299833,354691,216560,279257,20576,8834,12108,3865
５～29人,261549,328344,182083,248533,310481,174833,236771,11762,13016,17863,7250
30人以上,375919,446028,256473,364209,430439,251372,336000,28209,11710,15589,5101
５人以上,341429,414102,230605,329325,397896,224757,306076,23249,12104,16206,5848
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年８月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
