規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.6,163.2,146.6,16.6,14,87.9,83,4.9
100～499人,19.8,167.3,150.3,17,14.9,94.8,90.1,4.7
100人以上,19.7,165.3,148.5,16.8,14.6,92.2,87.4,4.8
30～99人,20.5,175.1,157.8,17.3,15.5,88.2,85.7,2.5
５～29人,21.1,174,162.2,11.8,13.7,81.1,78.9,2.2
30人以上,20,168.5,151.5,17,15,90.4,86.6,3.8
５人以上,20.3,169.8,154.1,15.7,14.4,86,83,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年１１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
