規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1032113,1248321,633438,447106,526310,301059,409031,38075,585007,722011,332379
100～499人,709420,860070,448483,353683,416441,244981,324453,29230,355737,443629,203502
100人以上,859567,1042892,532698,397152,468177,270515,363807,33345,462415,574715,262183
30～99人,518307,626513,357095,294180,348347,213479,272852,21328,224127,278166,143616
５～29人,348985,442532,236625,257364,322369,179286,244900,12464,91621,120163,57339
30人以上,744070,908268,468814,362302,429433,249765,333024,29278,381768,478835,219049
５人以上,625422,781515,389193,330788,400295,225597,306559,24229,294634,381220,163596
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年６月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
