事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,平成18,2006,年平均,19.6,163.8,148.5,15.3,14.8,91.3,87.1,4.2
30人以上,TL 調査産業計,平成19,2007,年平均,19.7,165,149.3,15.7,15.6,96.2,91.9,4.3
30人以上,TL 調査産業計,平成20,2008,年平均,19.6,164.1,148.9,15.2,15.2,94.9,90.7,4.2
30人以上,TL 調査産業計,平成21,2009,年平均,19.4,161.3,146.7,14.6,13.9,84.7,81.3,3.4
30人以上,TL 調査産業計,平成22,2010,年平均,19.5,162.1,147,15.1,14.3,87.3,83.8,3.5
30人以上,TL 調査産業計,平成23,2011,年平均,19.4,161.5,146.7,14.8,14.3,88.2,84.6,3.6
30人以上,TL 調査産業計,平成24,2012,年平均,19.7,165.5,149.6,15.9,15,91.1,87.6,3.5
30人以上,TL 調査産業計,平成25,2013,年平均,19.4,163.4,147.5,15.9,14.7,88.9,85.3,3.6
30人以上,TL 調査産業計,平成25,2013,1月,17.9,150.9,135.9,15,14.1,85.8,82,3.8
30人以上,TL 調査産業計,平成25,2013,2月,18.8,158.9,143.2,15.7,14.3,86.6,83.3,3.3
30人以上,TL 調査産業計,平成25,2013,3月,19.1,161.4,145.1,16.3,14.4,87.5,83.9,3.6
30人以上,TL 調査産業計,平成25,2013,4月,20.2,170.5,153.5,17,15,91.5,87.7,3.8
30人以上,TL 調査産業計,平成25,2013,5月,19.6,165.1,149.1,16,14.9,89.7,85.9,3.8
30人以上,TL 調査産業計,平成25,2013,6月,19.8,166.3,150.7,15.6,15,89.6,86,3.6
30人以上,TL 調査産業計,平成25,2013,7月,20.2,170.2,154.2,16,15,91.7,87.9,3.8
30人以上,TL 調査産業計,平成25,2013,8月,19.4,163,147.6,15.4,14.8,89.4,85.9,3.5
30人以上,TL 調査産業計,平成25,2013,9月,18.8,158.1,143.1,15,14.6,87.8,84.4,3.4
30人以上,TL 調査産業計,平成25,2013,10月,20,167.9,151.8,16.1,15,89.1,85.7,3.4
30人以上,TL 調査産業計,平成25,2013,11月,20,168.5,151.5,17,15,90.4,86.6,3.8
30人以上,TL 調査産業計,平成25,2013,12月,19.1,160.6,144.4,16.2,14.5,88,84,4
30人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,19.6,150.5,146.7,3.8,3.1,17.9,17.9,0
30人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,19.8,159.8,144.5,15.3,13.7,64.4,64.3,0.1
30人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,19.6,158.5,144.2,14.3,13.5,60.6,60,0.6
30人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,18.8,148.9,136.3,12.6,10.6,60.9,56.2,4.7
30人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,19,151.3,138.2,13.1,12.6,81.8,80,1.8
30人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,19,150.5,139.2,11.3,10.8,70.6,70.5,0.1
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,19.6,160.5,143.3,17.2,16,105.1,100.5,4.6
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,年平均,19.2,157.1,139.9,17.2,16.6,115.4,109.7,5.7
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,1月,17.8,150,130.7,19.3,15.3,102.1,97.9,4.2
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,2月,18.5,152.8,137,15.8,15.2,99.1,95.8,3.3
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,3月,18.7,155.6,136.7,18.9,18.3,123.9,118.1,5.8
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,4月,20.3,160.8,150.7,10.1,17.5,119.7,113.2,6.5
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,5月,19.6,160.1,141.8,18.3,17.6,123.6,116.5,7.1
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,6月,19.6,155.8,140.4,15.4,15.9,109.3,104.1,5.2
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,7月,20.9,173.2,151.9,21.3,18.2,126.3,118.7,7.6
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,8月,19.3,156.3,141.2,15.1,16.7,115.3,110.4,4.9
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,9月,18.1,147.4,132.8,14.6,16.2,112.2,107.6,4.6
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,10月,21,173.5,152.2,21.3,15.7,115.2,109.5,5.7
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,11月,19.6,160.3,140,20.3,15.6,112.2,106,6.2
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,12月,18.1,150.2,131.6,18.6,16.3,113.6,108.9,4.7
30人以上,D 建設業,平成18,2006,年平均,20.5,172.5,156.8,15.7,14.3,83.2,81.6,1.6
30人以上,D 建設業,平成19,2007,年平均,20.5,174.1,157.4,16.7,17.5,129,126,3
30人以上,D 建設業,平成20,2008,年平均,20.4,173.6,156.2,17.4,17.3,125.1,122,3.1
30人以上,D 建設業,平成21,2009,年平均,19.8,170.5,151.8,18.7,17.1,115.8,113,2.8
30人以上,D 建設業,平成22,2010,年平均,19.9,170,152.2,17.8,17.5,124.3,121.6,2.7
30人以上,D 建設業,平成23,2011,年平均,19.9,170.1,151.6,18.5,17.8,128.7,126.1,2.6
30人以上,D 建設業,平成24,2012,年平均,20.9,181.9,156.2,25.7,15.2,124,121.2,2.8
30人以上,D 建設業,平成25,2013,年平均,20.5,178.3,154.4,23.9,14.9,116.3,114,2.3
30人以上,D 建設業,平成25,2013,1月,18.8,163.5,139.6,23.9,12,97.6,89.5,8.1
30人以上,D 建設業,平成25,2013,2月,20.8,181.4,153.7,27.7,16.1,117.8,116.5,1.3
30人以上,D 建設業,平成25,2013,3月,20.3,178.7,151.3,27.4,14.8,109.8,108.3,1.5
30人以上,D 建設業,平成25,2013,4月,21.2,185,160.7,24.3,15.5,115.2,113.3,1.9
30人以上,D 建設業,平成25,2013,5月,20.2,176.2,154.7,21.5,14.5,106.7,105,1.7
30人以上,D 建設業,平成25,2013,6月,20.5,181.9,157.9,24,16.3,120.2,117.7,2.5
30人以上,D 建設業,平成25,2013,7月,21.4,184,161.2,22.8,16,119,117.2,1.8
30人以上,D 建設業,平成25,2013,8月,20.3,176.1,154,22.1,15,113.6,111.2,2.4
30人以上,D 建設業,平成25,2013,9月,19.7,170.7,147.7,23,15.8,118.1,116.6,1.5
30人以上,D 建設業,平成25,2013,10月,20.8,178.8,156.4,22.4,15.6,115.4,114.3,1.1
30人以上,D 建設業,平成25,2013,11月,21.7,184.9,160.8,24.1,13.9,127.6,125.5,2.1
30人以上,D 建設業,平成25,2013,12月,20.7,177.9,154.5,23.4,13.4,129,126.4,2.6
30人以上,E 製造業,平成18,2006,年平均,19.5,166,150.4,15.6,18.3,144.3,134.9,9.4
30人以上,E 製造業,平成19,2007,年平均,19.3,162.4,147.8,14.6,17.6,117.7,113.1,4.6
30人以上,E 製造業,平成20,2008,年平均,19.3,160.5,146.7,13.8,17.5,117.9,113.4,4.5
30人以上,E 製造業,平成21,2009,年平均,19.1,158.9,147.5,11.4,17.5,128.5,118.8,9.7
30人以上,E 製造業,平成22,2010,年平均,19.3,161.5,149,12.5,17.8,139,126.1,12.9
30人以上,E 製造業,平成23,2011,年平均,19.2,160.6,148.2,12.4,17.4,132.5,122.1,10.4
30人以上,E 製造業,平成24,2012,年平均,19.2,161.8,147.6,14.2,17.5,131,119.4,11.6
30人以上,E 製造業,平成25,2013,年平均,18.9,159.9,145.5,14.4,17.3,128.4,116.7,11.7
30人以上,E 製造業,平成25,2013,1月,16.8,140.6,128.7,11.9,15.5,114.9,104.3,10.6
