規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,520569,503504,460825,42679,17065,129075,126616,118437,8179,2459
100～499人,430276,408215,372255,35960,22061,122937,120543,113616,6927,2394
100人以上,473849,454199,414997,39202,19650,125160,122743,115363,7380,2417
30～99人,381655,358794,331394,27400,22861,107593,106447,102634,3813,1146
５～29人,357196,345950,328041,17909,11246,91542,90961,88369,2592,581
30人以上,445159,424510,388981,35529,20649,116865,115048,109352,5696,1817
５人以上,422711,404461,373428,31033,18250,105151,103905,99645,4260,1246
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年４月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
