産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.89,1.68,1.54,1.55
"鉱業,採石業,砂利採取業",0.92,1.52,0.92,1.52
建設業,0.65,1.18,0.5,1.3
製造業,0.81,1.39,0.72,1.34
電気・ガス・熱供給・水道業,0.48,1.21,0.34,1.39
情報通信業,0.87,0.81,0.66,0.9
"運輸業,郵便業",1.36,1.53,1.09,1.59
"卸売業,小売業",1.63,1.58,0.99,1.15
"金融業,保険業",0.95,0.92,0.82,0.94
"不動産業,物品賃貸業",0.94,1.4,1.09,1.49
"学術研究,専門・技術サービス業",2.71,2.31,3.39,2.62
"宿泊業,飲食サービス業",4.8,3.26,2.42,3.16
"生活関連サービス業,娯楽業",2.75,1.99,3.32,1.11
"教育,学習支援業",3.68,1.87,3.72,1.94
"医療,福祉",1.77,1.61,1.54,1.37
複合サービス事業,0.68,1.17,0.89,1.12
サービス業（他に分類されないもの）,2.26,2.08,2.57,2.31
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年６月分,,,,
第４表  産業別労働異動率,,,,
