産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.47,1.71,1.17,1.45
"鉱業,採石業,砂利採取業",0.6,1.26,0.6,1.26
建設業,0.66,0.83,0.53,0.68
製造業,0.56,0.82,0.49,0.8
電気・ガス・熱供給・水道業,0.5,1.17,0.42,1.05
情報通信業,0.77,0.72,0.55,0.7
"運輸業,郵便業",1.38,1.31,1.23,1.47
"卸売業,小売業",1.36,1.91,1.01,1.51
"金融業,保険業",0.75,1.19,0.68,1.14
"不動産業,物品賃貸業",1.08,1.1,0.99,1.19
"学術研究,専門・技術サービス業",3.16,1.75,3.94,1.89
"宿泊業,飲食サービス業",3.61,4.05,1.92,2.57
"生活関連サービス業,娯楽業",1.89,2.28,1.29,1.32
"教育,学習支援業",1.41,2.63,1.37,2.69
"医療,福祉",1.28,1.39,1.03,1.24
複合サービス事業,0.82,2.06,0.74,3.6
サービス業（他に分類されないもの）,1.72,1.85,1.83,2.14
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年２月分,,,,
第４表  産業別労働異動率,,,,
