規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.3,160.4,145,15.4,14.2,90.8,86.6,4.2
100～499人,19.5,162.9,147.5,15.4,14.5,91,87.2,3.8
100人以上,19.4,161.7,146.3,15.4,14.4,91,87,4
30～99人,19.5,165.9,150.5,15.4,15.2,87.4,84.5,2.9
５～29人,20.2,165.8,154.7,11.1,13.5,81.2,79,2.2
30人以上,19.4,163,147.6,15.4,14.8,89.4,85.9,3.5
５人以上,19.6,163.7,149.4,14.3,14.2,85.5,82.6,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２５年８月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
