事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,TL 調査産業計,596456,2.2,87,91.9,1.34,0.03,597384,3.9,89.6,93,1.39,0.04
30人以上,C 鉱業，採石業，砂利採取業,1258549,-8.8,100,100,1.85,-1.14,1220660,-11.1,93.8,89.7,1.8,-1.48
30人以上,D 建設業,567118,2.5,89.9,98.2,1.3,0,590754,13.2,75.7,92,1.27,0.13
30人以上,E 製造業,751548,-5.1,88.1,92.5,1.35,-0.04,772768,14.1,89.9,95.6,1.44,0.02
30人以上,F 電気・ガス・熱供給・水道業,992240,-4.1,87.6,67.8,2.31,-0.18,1025268,-2.3,87.6,68,2.65,0.09
30人以上,G 情報通信業,799223,11.2,89.5,88.8,1.55,0.16,796718,5.7,86.6,88.3,1.74,0.17
30人以上,"H 運輸業,郵便業",473304,-6.1,86.9,95.4,1.29,-0.03,498409,-7.7,94.6,97.2,1.39,-0.04
30人以上,"I 卸売業,小売業",622205,0.1,89.7,92.9,1.28,-0.01,517914,-1.4,91.3,93.3,1.27,0.04
30人以上,"J 金融業,保険業",966820,9.1,92.3,98.5,1.91,0.12,1028196,11.8,94.7,99.3,2.04,0.29
30人以上,"K 不動産業,物品賃貸業",605523,4.6,86.4,92.3,1.52,0,588259,9.2,89,94.7,1.51,0.04
30人以上,"L 学術研究,専門・技術サービス業",589085,-16.9,83.9,96,1.44,0.04,625813,-3.7,82.6,96,1.6,0.02
30人以上,"M 宿泊業,飲食サービス業",152486,2.1,79.2,86.7,0.46,-0.05,159268,-3.3,84.9,90.2,0.51,-0.03
30人以上,"N 生活関連サービス業,娯楽業",488110,35.9,69.7,78.5,1.6,0.39,331754,-6.5,82.1,88.8,1.01,-0.05
30人以上,"O 教育,学習支援業",636067,6.6,93.7,96.8,1.65,0.05,742531,4,99.8,99.2,1.9,0.05
30人以上,"P 医療,福祉",384436,-9.7,96.4,99,1.18,-0.1,462203,1.8,100,100,1.33,0.03
30人以上,Q 複合サービス事業,445423,10.2,100,100,1.46,0.09,469679,9.3,100,100,1.59,0.12
30人以上,R サービス業（他に分類されないもの）,306710,12.1,76.8,80.5,1.14,0.06,301435,2.3,82.2,82.7,1.19,-0.01
30人以上,"E09,10 食料品製造業、飲料・たばこ・飼料製造業",667461,-2.6,86.6,94.6,1.1,-0.07,693519,18.3,85.4,94.2,1.15,0.2
30人以上,E11 繊維工業,632009,-29,92.5,94.4,1.45,-0.34,720427,-16.2,94.7,95.2,1.51,-0.26
30人以上,E12 木材・木製品製造業（家具を除く）,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,E13 家具・装備品製造業,547890,20.1,100,100,1.36,0.26,537661,18.4,84.2,92.1,1.48,0.44
30人以上,E14 パルプ・紙・紙加工品製造業,757608,-0.1,100,100,1.5,0.08,776863,4.7,100,100,1.54,0.05
30人以上,E15 印刷・同関連業,435701,-7.5,80.9,93.1,0.8,0.06,453332,4.6,81.3,93.7,0.71,-0.05
30人以上,"E16,17 化学工業、石油製品・石炭製品製造業",1060947,-4.5,95.6,85.4,1.97,-0.01,1010226,-8.5,96.7,91.7,2.09,0.02
30人以上,E18 プラスチック製品製造業（別掲を除く）,575467,-24.8,100,100,1.41,0.02,586460,-24.9,100,100,1.49,-0.02
30人以上,E19 ゴム製品製造業,384352,39,73,87.3,1.16,0.36,444868,17,100,100,1.21,0.06
30人以上,E21 窯業・土石製品製造業,717374,0.5,100,100,1.51,-0.08,797170,1.9,100,100,1.79,0.03
30人以上,E22 鉄鋼業,465975,-54.5,70.4,42.7,1.35,-0.17,994684,-3.8,83.6,95.7,1.5,-0.11
30人以上,E23 非鉄金属製造業,885679,-1.1,100,100,2.04,0.03,947721,2.4,100,100,2.16,0.07
30人以上,E24 金属製品製造業,680751,-10.6,82,88,1.52,-0.02,802219,-13.2,82,87.9,1.71,-0.13
30人以上,E25 はん用機械器具製造業,854948,1.2,76,91.5,1.99,0.07,791478,0.8,100,100,1.75,0.08
30人以上,E26 生産用機械器具製造業,779316,-6.9,100,100,1.05,-0.42,878817,-3.4,84.6,89.9,1.24,-0.15
30人以上,E27 業務用機械器具製造業,797713,4.4,89.5,86.2,1.23,0,735186,-4,93.4,98.9,1.48,-0.21
30人以上,E28 電子部品・デバイス・電子回路製造業,592839,-1.4,91.9,97.5,1.25,0.16,627315,-6.7,97.9,97.6,1.15,0.05
30人以上,E29 電気機械器具製造業,868231,-3.6,100,100,1.39,-0.54,908536,-3.8,96.4,92.3,1.5,-0.16
30人以上,E30 情報通信機械器具製造業,887241,4.3,90,97.5,1.54,-0.09,869348,147.4,86.4,97.5,1.63,-0.05
30人以上,E31 輸送用機械器具製造業,656909,-3.7,78.9,96.5,1.46,0,770475,12.4,86.6,99,2.07,0.43
30人以上,"E32,20 その他の製造業、なめし革・同製品・毛皮製造業",700724,-17.6,84.2,92.2,1.77,0.07,706855,12.3,91.6,91.5,1.72,0.08
30人以上,I-1 卸売業,894355,0.9,90.3,92.7,1.7,0.01,730450,-4.2,91,92.3,1.66,-0.03
30人以上,I-2 小売業,233853,-1,88.9,93.2,0.79,-0.01,229950,4.8,91.6,94.6,0.8,0.05
30人以上,M75 宿泊業,278078,15.6,71.7,83,0.73,-0.26,265161,-21.3,100,100,1.01,-0.15
30人以上,MS Ｍ一括分,131217,-1.6,79.9,87.3,0.44,-0.02,134024,-3.6,83.3,88.1,0.45,-0.06
30人以上,P83 医療業,487770,-4.8,100,100,1.37,0.03,609704,3,100,100,1.59,0.18
30人以上,PSＰ一括分,276285,-15,95.8,98,1.14,-0.13,317579,0.5,100,100,1.29,0.02
30人以上,R91 職業紹介・労働者派遣業,120764,8.5,63.9,77.9,0.57,0.08,129984,26.2,59.5,70.6,0.56,0.14
30人以上,R92 その他の事業サービス業,285617,19.9,77.4,78.8,1.03,0.1,274059,-7.7,86.3,85.3,1.09,-0.06
30人以上,RS Ｒ一括分,650053,5.6,81.7,90.6,1.68,0.06,589790,2,82.2,91.3,1.61,0.03
30人以上,L71 学術・開発研究機関,816007,0.8,70.2,82.4,1.68,-0.08,808768,7.2,70.2,90,1.75,0.09
30人以上,"L72,74 専門サービス業，技術サービス業",552203,-16.9,85,97.1,1.45,0.04,634940,-5.5,83.6,96.6,1.7,0.03
30人以上,L73 広告業,644343,0.8,94.1,93.9,1.03,0.07,591201,25,94.1,94.3,1.01,0
30人以上,N78 洗濯・理容・美容・浴場業,465027,50.4,59.9,59.1,1.23,0.27,264422,-14.6,100,100,0.95,-0.04
30人以上,"R89,90 自動車整備業、機械等修理業",700888,-0.9,100,100,2.01,-0.02,670689,1.5,83.2,93.4,1.96,-0.01
30人以上,E25-31 ［特掲積上げ］機械関連製造業,798729,-0.1,90.2,95.6,1.36,-0.12,798158,28.5,91.6,97.3,1.53,-0.02
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成25年年報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況　（事業所規模３０人以上）,,,,,,,,,,,,,
